,Origin,Mean_grade,std_grade,Number_beers,Mean_price_euro_per_litter,std_price,Country,Year,Income,Price_norm_income_score,income_average_rating
0,Netherlands,3.615395793499044,0.27625775900138017,2649,12.774337485843715,4.1866158967628095,Netherlands,2021.0,21595.31,0.6852403250568808,0.3352793656149654
1,United States,3.956711517761033,0.23748163477843584,1866,17.370932475884246,5.118111329428518,United States,2022.0,22701.55,1.0300596402259958,0.903734507617347
2,Spain,3.8707076350093113,0.2143052428766825,540,15.749722222222223,3.9727472486828446,Spain,2019.0,14723.41,1.4893818018360556,1.324312086514794
3,Poland,3.721273364485981,0.2525461269492926,858,10.244545454545454,4.768300749063624,Poland,2020.0,10281.97,1.1527312473356965,1.502547300449326
4,England,3.792503863987635,0.2549829581686621,1302,14.386966205837174,3.9642341547778224,,,,,
5,Canada,4.070342679127726,0.26731338294976836,327,19.960917431192662,4.43650214729774,Canada,2019.0,20327.16,1.4135864602920607,1.2608113230143179
6,Sweden,3.7856521739130433,0.2583081369089835,323,15.641609907120742,4.484039730754205,Sweden,2021.0,19462.51,1.0573645299152077,0.7374301848953931
7,Germany,3.531215834118756,0.2917274172453487,2141,9.052022419430173,5.018437172623754,Germany,2020.0,21273.48,0.3633416809862364,0.18435982214547422
8,Belgium,3.6803251470079554,0.2886839811206078,2901,12.794981041020337,5.433754551459101,Belgium,2021.0,20311.07,0.7371841576101245,0.4903582408728907
9,Denmark,3.6024925816023736,0.28138531787821286,337,14.632284866468842,4.0644819490124044,Denmark,2022.0,20055.3,0.9243718539456164,0.34175651451185407
10,France,3.856114206128134,0.23576830290995243,736,15.00766304347826,4.866050093329867,France,2020.0,17583.19,1.1200018234619586,1.0081133671074123
11,Austria,3.582307692307692,0.2294034495921242,52,11.685384615384615,5.008361816449024,Austria,2021.0,21226.28,0.6010011523340802,0.28055033655536354
12,Hungary,3.661287878787879,0.24488192329042704,271,13.527195571955719,4.277667358734234,Hungary,2015.0,7783.21,2.7969918446640714,2.004214401397023
13,Czech Republic,3.7301081081081082,0.24888444409000013,186,10.730913978494623,3.922952655654441,Czech Republic,2016.0,11512.42,1.0835982448860138,1.2904924534672795
15,Ireland,3.736962962962963,0.3012394150591608,136,12.670808823529413,5.303082409755891,Ireland,2021.0,18349.55,0.8164135275160774,0.6855140076332138
16,Slovakia,3.4324999999999997,0.21330561575890508,36,7.983888888888889,2.14004976948505,Slovakia,2018.0,8265.01,0.8938851523493532,0.0
17,Brazil,3.9039130434782607,0.4825381674064267,23,13.691739130434783,4.034283367896968,Brazil,2022.0,4127.94,10.189156619178794,
18,Norway,3.674917355371901,0.3332030417034718,242,14.667809917355372,4.411816526007663,Norway,2021.0,24552.1,0.7367906525927063,0.38005822329640315
21,Scotland,3.7816528925619837,0.26932290927405705,366,15.33,5.324187815095462,,,,,
22,Italy,3.7593650793650792,0.21159866174149972,128,15.6384375,4.42089641344662,Italy,2020.0,12129.86,1.8796929135651566,1.3079915815235974
23,Estonia,3.715673469387755,0.2886742866284683,245,14.10665306122449,4.371061531942259,Estonia,2016.0,10709.81,1.8945883839472544,1.3776341194965134
24,Romania,3.887234042553191,0.2049959136429512,194,14.022113402061855,4.010625287845848,Romania,2021.0,8972.35,2.39758504965499,3.005710888673586
26,Croatia,3.7708988764044946,0.2431406273287421,89,12.521011235955054,3.0449865819020023,,,,,
27,Finland,3.8495833333333334,0.3133977246292909,72,16.94152777777778,3.6518949970720778,Finland,2016.0,17896.48,1.3088632053591878,0.9699862408938105
28,Wales,3.7917,0.24622013227060432,101,14.392871287128713,2.857630954701347,,,,,
29,Latvia,3.9812608695652174,0.15576174768828394,230,13.982304347826087,2.8039085934490973,,,,,
30,Greece,3.9564705882352946,0.23958148298130708,34,16.583823529411767,4.344440553798637,Greece,2016.0,8376.19,3.402107626069591,3.9493668120731793
34,Slovenia,3.5978947368421053,0.07598091480894843,19,13.947368421052632,2.6804308155080485,Slovenia,2015.0,12360.22,1.5431708099229726,0.6433275953540013
35,Serbia,3.7409090909090907,0.12549538202296884,11,14.087272727272728,2.923973635001147,Serbia,2022.0,5135.68,6.231107609646511,9.79962151852033
38,Northern Ireland,3.745,0.21209481494443924,20,13.1465,4.2446961021962455,,,,,
39,Switzerland,3.961052631578948,0.25387578867227306,38,20.27868421052632,4.171767511241737,Switzerland,2019.0,23733.97,1.2097063024948174,0.8632353275746488
40,Ukraine,3.9207407407407406,0.2272904939960505,27,15.270000000000001,3.375175209127326,,,,,
41,Portugal,3.846341463414634,0.2157053093639674,42,17.340714285714284,3.873550959820656,,,,,
43,Bulgaria,3.9031428571428575,0.1620415964855833,35,15.673714285714286,3.9854338354993253,,,,,
