"country","num_users","avg_nbr_ratings","population_in_2010","percentage_reviewers_per_country","nbr_breweries","consumption_per_inhabitant_L_per_year_wikipedia","consumption_per_country_millionL_per_year_wikipedia","log_num_users","normalized_number_breweries"
"Montenegro",6.0,3.5,619428.0,0.0009686355799221216,9.0,"NaN","NaN",1.9459101490553132,"NaN"
"Botswana",5.0,1.8,2091664.0,0.0002390441294586511,6.0,"NaN","NaN",1.791759469228055,"NaN"
"Azerbaijan",5.0,2.6,9054332.0,5.5222185358345596e-05,9.0,"NaN","NaN",1.791759469228055,"NaN"
"Trinidad and Tobago",5.0,7.0,1410296.0,0.00035453550176700496,2.0,"NaN","NaN",1.791759469228055,"NaN"
"Uganda",5.0,3.4,32341728.0,1.5459903688510398e-05,5.0,6.0,"NaN",1.791759469228055,2.576650614751733e-08
"Albania",5.0,2.2,2913021.0,0.0001716431155147869,13.0,"NaN","NaN",1.791759469228055,"NaN"
"Tunisia",5.0,1.2,10895063.0,4.5892345918513737e-05,9.0,"NaN","NaN",1.791759469228055,"NaN"
"American Samoa",5.0,4.4,54849.0,0.009115936480154607,1.0,"NaN","NaN",1.791759469228055,"NaN"
"Zimbabwe",5.0,1.8,12839771.0,3.894150448633391e-05,7.0,"NaN","NaN",1.791759469228055,"NaN"
"Tajikistan",5.0,73.6,7621779.0,6.560148227861237e-05,2.0,"NaN","NaN",1.791759469228055,"NaN"
"Vanuatu",4.0,1.0,245453.0,0.0016296398903252354,6.0,"NaN","NaN",1.6094379124341003,"NaN"
"Jordan",4.0,43.25,6931258.0,5.770958172383714e-05,6.0,"NaN","NaN",1.6094379124341003,"NaN"
"Uzbekistan",4.0,18.5,28562400.0,1.4004425398425904e-05,12.0,11.0,"NaN",1.6094379124341003,3.819388745025246e-08
"Belize",4.0,3.5,322106.0,0.0012418272245782443,5.0,"NaN","NaN",1.6094379124341003,"NaN"
"Mauritius",4.0,5.25,1250400.0,0.0003198976327575176,6.0,"NaN","NaN",1.6094379124341003,"NaN"
"Pakistan",4.0,7.0,194454498.0,2.057036500127655e-06,5.0,"NaN","NaN",1.6094379124341003,"NaN"
"Nigeria",4.0,1.5,160952853.0,2.4851998118977116e-06,8.0,"NaN","NaN",1.6094379124341003,"NaN"
"Nicaragua",4.0,2.0,5855734.0,6.830911376780434e-05,9.0,"NaN","NaN",1.6094379124341003,"NaN"
"Barbados",4.0,3.25,274711.0,0.0014560756576911735,4.0,"NaN","NaN",1.6094379124341003,"NaN"
"Aruba",4.0,6.75,100341.0,0.0039864063543317285,4.0,"NaN","NaN",1.6094379124341003,"NaN"
"Namibia",3.0,6.0,2099271.0,0.00014290675191530776,7.0,95.5,248.0,1.3862943611198906,3.491613484841725e-08
"Armenia",3.0,1.6666666666666667,2946293.0,0.00010182286690427599,12.0,"NaN","NaN",1.3862943611198906,"NaN"
"Morocco",3.0,5.0,32464865.0,9.240759202294542e-06,5.0,"NaN","NaN",1.3862943611198906,"NaN"
"Mozambique",3.0,16.666666666666668,23073723.0,1.3001802960016467e-05,2.0,"NaN","NaN",1.3862943611198906,"NaN"
"Nepal",3.0,5.0,27161567.0,1.1045018131685848e-05,10.0,"NaN","NaN",1.3862943611198906,"NaN"
"Burkina Faso",3.0,16.666666666666668,16116845.0,1.8614064973634727e-05,3.0,"NaN","NaN",1.3862943611198906,"NaN"
"Papua New Guinea",3.0,3.0,7583269.0,3.956077517492786e-05,2.0,10.9,"NaN",1.3862943611198906,2.4196192767539973e-08
"Antigua and Barbuda",2.0,2.0,85695.0,0.0023338584514849174,1.0,"NaN","NaN",1.0986122886681098,"NaN"
"Monaco",2.0,3.0,33178.0,0.006028090903610827,3.0,"NaN","NaN",1.0986122886681098,"NaN"
"Zambia",2.0,1.0,13792086.0,1.4501069671404312e-05,3.0,"NaN","NaN",1.0986122886681098,"NaN"
"Bangladesh",2.0,8.5,148391139.0,1.3477893717090478e-06,3.0,"NaN","NaN",1.0986122886681098,"NaN"
"Bhutan",2.0,5.5,705516.0,0.0002834804596919134,3.0,"NaN","NaN",1.0986122886681098,"NaN"
"Algeria",2.0,19.5,35856344.0,5.57781351049064e-06,10.0,"NaN","NaN",1.0986122886681098,"NaN"
"Haiti",2.0,14.0,9842880.0,2.0319256152670763e-05,2.0,"NaN","NaN",1.0986122886681098,"NaN"
"Ethiopia",2.0,81.0,89237791.0,2.2412029450616947e-06,7.0,"NaN","NaN",1.0986122886681098,"NaN"
"Iraq",2.0,2.0,31264875.0,6.3969550493964874e-06,3.0,"NaN","NaN",1.0986122886681098,"NaN"
"Northern Mariana Islands",2.0,3.0,54087.0,0.0036977462236766692,"NaN","NaN","NaN",1.0986122886681098,"NaN"
"New Caledonia",2.0,3.5,249750.0,0.0008008008008008007,2.0,"NaN","NaN",1.0986122886681098,"NaN"
"Marshall Islands",2.0,2.0,53416.0,0.0037441964954320803,1.0,"NaN","NaN",1.0986122886681098,"NaN"
"San Marino",2.0,4.5,31608.0,0.006327512022272843,4.0,"NaN","NaN",1.0986122886681098,"NaN"
"Kosovo",2.0,1.0,1792563.0,0.00011157208979544931,2.0,"NaN","NaN",1.0986122886681098,"NaN"
"Ghana",2.0,2.0,25574719.0,7.820222775468227e-06,5.0,"NaN","NaN",1.0986122886681098,"NaN"
"Kazakhstan",2.0,19.5,16321872.0,1.2253496412666391e-05,13.0,"NaN","NaN",1.0986122886681098,"NaN"
"Turkmenistan",1.0,69.0,5267970.0,1.8982644168436798e-05,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Tuvalu",1.0,1.0,10550.0,0.00947867298578199,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Rwanda",1.0,16.0,10309031.0,9.700232737684075e-06,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Oman",1.0,11.0,2881914.0,3.469916173765074e-05,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Mongolia",1.0,2.0,2702520.0,3.700250136909255e-05,8.0,"NaN","NaN",0.6931471805599453,"NaN"
"Mauritania",1.0,1.0,3419461.0,2.924437506378929e-05,"NaN","NaN","NaN",0.6931471805599453,"NaN"
"Liechtenstein",1.0,5.0,35926.0,0.002783499415465123,3.0,"NaN","NaN",0.6931471805599453,"NaN"
"Sudan",1.0,3.0,33739933.0,2.96384702364406e-06,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Lesotho",1.0,1.0,2022747.0,4.943772009055013e-05,2.0,"NaN","NaN",0.6931471805599453,"NaN"
"Jamaica",1.0,1.0,2733896.0,3.6577836172261124e-05,3.0,"NaN","NaN",0.6931471805599453,"NaN"
"Liberia",1.0,1.0,4019956.0,2.4875894164015727e-05,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Saudi Arabia",1.0,64.0,29411929.0,3.399981007706091e-06,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Senegal",1.0,1.0,12530121.0,7.980768900795132e-06,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Togo",1.0,2.0,6571855.0,1.5216403892051787e-05,2.0,"NaN","NaN",0.6931471805599453,"NaN"
"Greenland",1.0,374.0,56905.0,0.0017573148229505316,4.0,"NaN","NaN",0.6931471805599453,"NaN"
"Gibraltar",1.0,1.0,31262.0,0.0031987716716780756,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Burundi",1.0,2.0,9126605.0,1.0956976882422326e-05,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Angola",1.0,6.0,23364185.0,4.2800551356702575e-06,3.0,"NaN","NaN",0.6931471805599453,"NaN"
"Equatorial Guinea",1.0,6.0,1094524.0,9.136391710003618e-05,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Cuba",1.0,1.0,11290417.0,8.85706878674189e-06,4.0,"NaN","NaN",0.6931471805599453,"NaN"
"Sri Lanka",1.0,1.0,20668557.0,4.838267132049906e-06,3.0,2.0,50.0,0.6931471805599453,7.257400698074858e-08
"Solomon Islands",1.0,3.0,540394.0,0.0001850501671003009,1.0,"NaN","NaN",0.6931471805599453,"NaN"
"Seychelles",1.0,1.0,89770.0,0.0011139578923916678,1.0,"NaN","NaN",0.6931471805599453,"NaN"
