Beer_type,Price_per_litter,std,count
"""Altbier - Traditional""",10.216363636363637,5.70112492886671,11
"""Barleywine - American""",16.042166666666667,5.017486402797707,60
"""Barleywine - English""",17.456,4.575426553683072,55
"""Barleywine - Other""",16.854102564102565,5.337689858344403,117
"""Belgian Blonde""",9.151660231660232,2.781200584336121,259
"""Belgian Dubbel""",9.810676691729324,3.6401286597909417,133
"""Belgian Enkel / Patersbier""",7.933529411764706,2.751965073307778,17
"""Belgian Quadrupel""",13.669771689497717,5.034881032542415,219
"""Belgian Strong Dark Ale""",12.431145833333334,5.052801176309278,192
"""Belgian Strong Golden Ale""",10.975634517766496,4.470266534128516,197
"""Belgian Tripel""",10.387594936708862,3.685552347503691,474
"""Bitter - Best""",9.722307692307693,1.678224030764635,13
"""Bitter - Extra Special / Strong (ESB)""",10.788,2.862856216138999,15
"""Bière de Champagne / Bière Brut""",17.024,5.997052609407391,15
"""Blonde / Golden Ale - Other""",10.691764705882354,2.2938591673908166,187
"""Bock - Doppelbock""",12.028695652173912,4.64574688002118,115
"""Bock - Eisbock""",13.586842105263157,6.438791339850101,19
"""Bock - Hell / Maibock / Lentebock""",7.736470588235294,3.7363548137345908,51
"""Bock - Single / Traditional""",9.066153846153846,2.9610796754503146,130
"""Bock - Weizenbock""",10.394736842105264,5.2515736312606265,38
"""Bock - Weizendoppelbock""",10.093181818181819,5.090696824192554,22
"""Brett Beer""",14.907826086956522,5.3710883919215116,23
"""Brown Ale - American""",12.530000000000001,3.8060324924169175,13
"""Brown Ale - Belgian""",7.1718518518518515,1.7035484166812545,27
"""Brown Ale - English""",11.809333333333333,3.3446107325637993,15
"""Brown Ale - Imperial / Double""",17.811923076923076,3.6457043426265603,26
"""Cider - Dry""",14.021875,4.46103976597954,64
"""Cider - Graff""",17.701818181818183,6.315319181453647,11
"""Cider - Herbed / Spiced / Hopped""",12.392,3.9763598799325046,20
"""Cider - Other Fruit""",16.627592592592592,4.788899481716216,54
"""Cider - Perry / Poiré""",16.603846153846153,4.931212728564748,13
"""Cider - Sweet""",11.80153846153846,5.638890029893362,13
"""Cider - Traditional / Apfelwein""",13.186562499999999,4.586794093865975,64
"""Farmhouse Ale - Bière de Coupage""",14.744666666666665,2.563370734757173,15
"""Farmhouse Ale - Bière de Garde""",11.482142857142858,4.9748905494328195,28
"""Farmhouse Ale - Brett""",15.96,4.801680955665421,11
"""Farmhouse Ale - Grisette""",15.693461538461538,5.629373636423643,26
"""Farmhouse Ale - Other""",18.381639344262293,3.743400940467491,61
"""Farmhouse Ale - Saison""",14.350650154798762,4.9337246596237865,323
"""Festbier""",7.750123456790123,3.705653617726285,81
"""Freeze-Distilled Beer""",19.403076923076924,2.585267183533727,13
"""Fruit Beer""",10.42793388429752,4.333665099611677,121
"""Gluten-Free""",11.499358974358973,4.264617136861093,78
"""Grape Ale - Other""",16.75602409638554,3.5942474159714104,83
"""Historical Beer - Gruit / Ancient Herbed Ale""",16.768947368421053,6.43496394894191,38
"""Historical Beer - Other""",7.6207142857142856,2.9322148737659166,14
