,ba_beer_id,ba_date,ba_user_name,rb_date,rb_user_name,time_diff
6907,195306,2015-10-15 10:00:00,johngalt1,2015-10-13 10:00:00,stevoj,2
6924,196165,2015-10-27 11:00:00,johngalt1,2015-09-28 10:00:00,stevoj,29
6958,197685,2015-11-01 11:00:00,johngalt1,2015-10-10 10:00:00,stevoj,22
6995,199137,2015-11-18 11:00:00,stevoj,2015-11-17 11:00:00,johngalt1,1
6996,199137,2015-11-18 11:00:00,johngalt1,2015-11-17 11:00:00,stevoj,1
7008,199419,2015-12-15 11:00:00,johngalt1,2015-10-06 10:00:00,stevoj,70
7025,200530,2015-11-22 11:00:00,johnnnniee,2015-11-20 11:00:00,puboflyons,2
7124,206957,2016-03-27 10:00:00,ordybill,2016-04-02 10:00:00,ronaldtheriot,6
7141,207654,2015-12-28 11:00:00,johngalt1,2015-12-23 11:00:00,stevoj,5
7236,211376,2016-05-20 10:00:00,ciocanelu,2016-07-19 10:00:00,superspak,60
7332,214479,2016-07-03 10:00:00,chinchill,2016-11-16 11:00:00,ordybill,136
7352,215327,2016-02-17 11:00:00,johngalt1,2016-02-16 11:00:00,stevoj,1
7389,217089,2016-02-27 11:00:00,johngalt1,2016-05-18 10:00:00,stevoj,80
7476,220473,2016-07-10 10:00:00,ciocanelu,2016-04-29 10:00:00,daydesiang,72
7494,221765,2016-08-10 10:00:00,ordybill,2016-08-21 10:00:00,sammy,11
7686,230778,2016-10-23 10:00:00,superspak,2016-10-16 10:00:00,stevoj,7
7720,232320,2016-06-30 10:00:00,puboflyons,2016-05-21 10:00:00,johnnnniee,40
7993,243179,2016-08-21 10:00:00,ciocanelu,2016-09-01 10:00:00,whatup14,11
8181,250599,2017-01-10 11:00:00,chinchill,2017-01-08 11:00:00,superspak,2
8305,255794,2016-11-10 11:00:00,puboflyons,2016-06-25 10:00:00,johnnnniee,138
8596,267178,2017-02-24 11:00:00,ordybill,2017-02-26 11:00:00,chinchill,2
8700,271719,2017-03-13 11:00:00,sammy,2017-03-11 11:00:00,whatup14,2
