,ba_beer_id,ba_date,ba_user_name,rb_date,rb_user_name,time_diff
3143,75606,2011-11-22 11:00:00,callmemickey,2011-12-10 11:00:00,puboflyons,18
3159,75933,2011-12-17 11:00:00,huhzubendah,2012-04-04 10:00:00,thorpe429,108
3178,76367,2012-08-26 10:00:00,corby112,2012-06-12 10:00:00,thorpe429,75
3181,76421,2013-04-28 10:00:00,spycow,2013-04-15 10:00:00,xmnwildx12,13
3185,76550,2012-02-12 11:00:00,chinchill,2012-02-15 11:00:00,chaingangguy,3
3214,77209,2012-05-28 10:00:00,popery,2012-08-20 10:00:00,ngeunit1,84
3215,77217,2012-01-09 11:00:00,videofrog,2012-02-19 11:00:00,mora2000,41
3216,77228,2012-03-31 10:00:00,huhzubendah,2012-04-09 10:00:00,thorpe429,9
3227,77393,2012-04-14 10:00:00,rarbring,2012-08-04 10:00:00,drpimento,112
3268,78377,2012-09-02 10:00:00,popery,2012-07-01 10:00:00,yourefragile,63
3281,78592,2012-02-25 11:00:00,thorpe429,2012-02-26 11:00:00,johnnnniee,1
3297,78793,2014-06-26 10:00:00,chinchill,2014-06-21 10:00:00,stevoj,5
3345,79654,2012-03-24 11:00:00,arrogantb,2012-04-09 10:00:00,thorpe429,15
3353,79909,2012-03-31 10:00:00,puboflyons,2012-03-30 10:00:00,johnnnniee,1
3357,79941,2012-05-30 10:00:00,huhzubendah,2012-05-22 10:00:00,thorpe429,8
3358,80021,2012-05-17 10:00:00,kaips1,2012-07-01 10:00:00,xmnwildx12,45
3387,80518,2012-04-20 10:00:00,mora2000,2012-04-27 10:00:00,thirdeye11,7
3420,81010,2012-06-24 10:00:00,steasy66,2012-07-24 10:00:00,thorpe429,30
3423,81072,2012-06-28 10:00:00,tone77,2012-05-20 10:00:00,xmnwildx12,39
3444,81293,2012-05-24 10:00:00,jamesewelch,2012-08-21 10:00:00,cpetrone84,89
3461,81627,2012-05-26 10:00:00,johngalt1,2012-05-31 10:00:00,ngeunit1,5
3462,81643,2013-12-21 11:00:00,chinchill,2013-12-20 11:00:00,vanz,1
3463,81644,2013-02-17 11:00:00,hopswagger,2013-05-05 10:00:00,huhzubendah,76
3465,81652,2012-05-22 10:00:00,johnnnniee,2012-05-26 10:00:00,puboflyons,4
3478,81814,2013-05-29 10:00:00,thorpe429,2013-05-19 10:00:00,xmnwildx12,10
3502,82297,2013-02-02 11:00:00,corby112,2013-06-24 10:00:00,petermethot,141
3504,82311,2012-08-16 10:00:00,morey,2012-08-11 10:00:00,tom10101,5
3552,83084,2012-10-26 10:00:00,superspak,2012-08-09 10:00:00,thorpe429,78
3584,83407,2013-07-04 10:00:00,chaingangguy,2013-04-13 10:00:00,jrob21,82
3589,83460,2012-08-23 10:00:00,orangesol,2012-07-27 10:00:00,thorpe429,27
3616,83894,2012-08-03 10:00:00,sammy,2012-04-30 10:00:00,tom10101,95
3657,84487,2013-05-26 10:00:00,deekyn,2013-07-11 10:00:00,cpetrone84,46
3669,84642,2012-09-30 10:00:00,sammy,2012-09-23 10:00:00,timc100,7
3677,84755,2012-08-28 10:00:00,johngalt1,2012-09-17 10:00:00,ngeunit1,20
3691,84897,2013-02-26 11:00:00,corby112,2013-03-03 11:00:00,illidurit,5
3716,85301,2012-09-14 10:00:00,chaingangguy,2012-05-19 10:00:00,jrob21,118
3745,85799,2012-11-14 11:00:00,popery,2012-11-29 11:00:00,ngeunit1,15
3772,86182,2013-04-14 10:00:00,thelevi4000,2013-04-28 10:00:00,xmnwildx12,14
3781,86286,2012-11-25 11:00:00,ronaldtheriot,2012-10-20 10:00:00,xmnwildx12,36
3782,86321,2013-03-03 11:00:00,tectactoe,2013-05-29 10:00:00,thorpe429,86
3813,86893,2012-11-20 11:00:00,huhzubendah,2012-11-18 11:00:00,thorpe429,2
3843,87393,2012-11-22 11:00:00,chaingangguy,2012-10-23 10:00:00,thorpe429,30
3864,87728,2013-01-12 11:00:00,ngeunit1,2012-12-28 11:00:00,alexchillton,15
3889,88182,2013-09-19 10:00:00,anatole,2013-11-17 11:00:00,sammy,59
3890,88205,2013-04-06 10:00:00,huhzubendah,2013-04-07 10:00:00,thorpe429,1
3920,88784,2013-02-15 11:00:00,davolebomb,2013-05-22 10:00:00,superspak,95
3925,88816,2013-05-16 10:00:00,chaingangguy,2013-06-25 10:00:00,tom10101,40
3954,89356,2013-03-02 11:00:00,tectactoe,2013-04-22 10:00:00,sammy,50
3960,89487,2013-02-03 11:00:00,crossovert,2013-04-11 10:00:00,popery,66
3964,89548,2013-03-05 11:00:00,onenote81,2013-01-30 11:00:00,mwbrady12,34
3971,89620,2013-02-27 11:00:00,corby112,2013-04-30 10:00:00,sammy,61
3973,89627,2013-04-17 10:00:00,whatup14,2013-01-01 11:00:00,tom10101,105
3978,89747,2013-04-10 10:00:00,mnmaverick,2013-04-09 10:00:00,xmnwildx12,1
3981,89808,2013-08-15 10:00:00,johngalt1,2013-08-20 10:00:00,stevoj,5
3984,89888,2013-08-10 10:00:00,thiswangschung,2013-08-11 10:00:00,huhzubendah,1
4009,90339,2013-04-26 10:00:00,sammy,2013-04-14 10:00:00,tom10101,12
4012,90364,2013-09-03 10:00:00,steasy66,2013-04-28 10:00:00,xmnwildx12,128
4056,91187,2013-04-03 10:00:00,johnnnniee,2013-03-15 11:00:00,alaimoa,18
4085,91519,2013-08-09 10:00:00,icehawk,2013-04-26 10:00:00,robloc303,105
4131,92456,2013-04-24 10:00:00,sammy,2012-12-30 11:00:00,tom10101,114
4143,92640,2013-06-24 10:00:00,popery,2013-06-23 10:00:00,illidurit,1
4148,92714,2013-05-29 10:00:00,thorpe429,2013-04-29 10:00:00,tom10101,30
4149,92724,2013-05-29 10:00:00,thorpe429,2013-05-19 10:00:00,xmnwildx12,10
4153,92789,2013-06-23 10:00:00,yourefragile,2013-08-04 10:00:00,tom10101,42
4169,92938,2013-06-23 10:00:00,kevintenney,2013-06-29 10:00:00,bmmillsy,6
4172,93002,2013-05-06 10:00:00,whatup14,2013-03-29 11:00:00,tom10101,37
4174,93034,2013-07-20 10:00:00,tom10101,2013-05-05 10:00:00,xmnwildx12,76
4200,93515,2014-04-09 10:00:00,tom10101,2014-04-05 10:00:00,blazert,4
4247,94341,2013-10-12 10:00:00,ronaldtheriot,2013-08-24 10:00:00,jrob21,49
4278,95070,2013-11-24 11:00:00,corby112,2014-02-13 11:00:00,cpetrone84,81
4280,95097,2013-06-12 10:00:00,tectactoe,2013-10-04 10:00:00,spongeruiner,114
4307,95585,2013-06-23 10:00:00,sammy,2013-06-13 10:00:00,whatup14,10
4313,95716,2014-01-18 11:00:00,fatehunter,2013-10-23 10:00:00,stevoj,87
4316,95746,2013-08-02 10:00:00,sammy,2013-08-01 10:00:00,devman171,1
4326,95919,2014-08-20 10:00:00,cpetrone84,2014-07-16 10:00:00,samp01,35
4332,96053,2014-04-19 10:00:00,ronaldtheriot,2014-03-05 11:00:00,devman171,44
4340,96183,2013-12-01 11:00:00,thiswangschung,2013-11-08 11:00:00,dan269605,23
4364,96705,2013-07-25 10:00:00,tectactoe,2013-07-28 10:00:00,bmmillsy,3
4375,96821,2013-07-25 10:00:00,jro,2013-08-29 10:00:00,kkleu357,35
4377,96830,2014-11-10 11:00:00,kkleu357,2014-11-09 11:00:00,barnoloid,1
4415,97701,2013-08-08 10:00:00,tectactoe,2013-10-10 10:00:00,spongeruiner,63
4425,97912,2013-10-17 10:00:00,corby112,2013-10-31 11:00:00,samp01,14
4440,98029,2013-09-27 10:00:00,tom10101,2013-09-09 10:00:00,illidurit,18
4444,98058,2013-08-29 10:00:00,steasy66,2013-07-15 10:00:00,xmnwildx12,45
4462,98417,2013-10-28 11:00:00,tom10101,2013-10-29 11:00:00,sammy,1
4468,98561,2013-12-26 11:00:00,davolebomb,2014-02-18 11:00:00,superspak,54
4470,98634,2013-08-27 10:00:00,tectactoe,2013-10-14 10:00:00,spongeruiner,48
4474,98660,2015-07-26 10:00:00,davolebomb,2015-08-03 10:00:00,chinchill,8
4476,98715,2013-10-14 10:00:00,tom10101,2013-08-31 10:00:00,illidurit,44
4493,99109,2013-11-03 11:00:00,thiswangschung,2013-12-21 11:00:00,alcaponejunior,48
4507,99292,2014-02-09 11:00:00,markonm,2014-04-02 10:00:00,tmzl,51
4509,99338,2013-10-14 10:00:00,corby112,2013-10-23 10:00:00,samp01,9
4538,99905,2013-09-28 10:00:00,johnnnniee,2013-09-27 10:00:00,puboflyons,1
4620,102455,2014-01-12 11:00:00,markonm,2014-01-29 11:00:00,tmzl,17
4661,103142,2013-11-18 11:00:00,corby112,2013-12-12 11:00:00,tom10101,24
4669,103431,2014-12-07 11:00:00,johnnnniee,2014-12-06 11:00:00,barnoloid,1
4671,103446,2014-04-22 10:00:00,markonm,2014-03-17 11:00:00,aleigator,35
4683,103923,2013-12-05 11:00:00,corby112,2014-03-03 11:00:00,superspak,88
4690,104040,2014-09-29 10:00:00,johngalt1,2014-10-08 10:00:00,stevoj,9
4701,104365,2013-11-22 11:00:00,corby112,2013-12-12 11:00:00,tom10101,20
4743,105430,2014-06-30 10:00:00,marco_gtz,2014-03-20 11:00:00,tectactoe,101
