,ba,ba.1,ba.2,ba.3,ba.4,ba.5,ba.6,ba.7,ba.8,ba.9,ba.10,ba.11,ba.12,ba.13,ba.14,ba.15,rb,rb.1,rb.2,rb.3,rb.4,rb.5,rb.6,rb.7,rb.8,rb.9,rb.10,rb.11,rb.12,rb.13,rb.14,scores,scores.1
21554,6.5,4.38,4.4820253164556965,4.335483870967743,92.0,8668,Southampton Peconic County Reserve Ale,Peconic Reserve Ale County,1628,Southampton Publick House,,31,79,31,Saison / Farmhouse Ale,1.0153505867778307,6.5,3.76,3.834117647058824,3.834117647058824,22006,Southampton Peconic County Reserve Ale,Peconic Reserve Ale County,790,Southampton Publick House,85,85,98.0,Saison,98.0,0.7814403201628497,0.8745152302337824,1.0000000000000002
22113,8.0,4.43,4.410541082164328,4.4657281553398045,97.0,156482,Tesseract,Tesseract,32893,Grimm Artisanal Ales,,103,499,83,American Double / Imperial IPA,0.9028064799075026,8.0,3.85,3.9431818181818175,3.9431818181818175,313823,Grimm Tesseract,Tesseract,17192,Grimm Artisanal Ales,44,44,99.0,Imperial IPA,97.0,0.937855763661554,0.4072463166626267,1.0
22786,5.0,3.43,3.598285714285714,3.524166666666668,81.0,71620,Cache La Porter,La Cache Porter,24671,Pateros Creek Brewing Co.,,12,35,12,English Porter,-0.5128953261470657,5.0,2.98,3.124242424242424,3.124242424242424,138369,Pateros Creek Cache La Porter,La Cache Porter,12539,Pateros Creek Brewing Company,33,33,36.0,Porter,13.0,-0.4953626776288263,0.6955304117493626,1.0
25164,5.4,3.92,3.9161111111111113,3.914184210526316,88.0,5411,Stoudts Pils,Pils,394,Stoudts Brewing Co.,100.0,380,702,375,German Pilsener,0.1108690770553812,5.4,3.33,3.336158192090396,3.336158192090396,2263,Stoudts Pils,Pils,386,Stoudts Brewing Co.,531,531,72.0,Pilsener,96.0,0.0300343733798651,0.4226497308103741,1.0
29379,3.6,4.07,4.165,4.01,,253015,Tafelbier,Tafelbier,32906,Schilling Beer Co.,,1,2,1,Belgian Pale Ale,0.3908209084938153,3.6,3.15,4.0,4.0,458089,Schilling Tafelbier,Tafelbier,19127,Schilling Beer Co.,1,1,,Belgian Ale,,1.013232551091825,1.0,1.0
29420,5.0,3.88,3.8825,3.8825,,64193,Bobhouse Bitter,Bobhouse Bitter,23684,Squam Brewing,,4,4,4,Extra Special / Strong Bitter (ESB),0.0373629935799015,5.0,3.0,3.2285714285714286,3.2285714285714286,135282,Squam Bobhouse Bitter,Bobhouse Bitter,12128,Squam Brewing,7,7,,Bitter,,-0.2259107127918556,1.0000000000000002,1.0000000000000002
29431,7.2,3.7,3.626666666666667,3.815,,65150,Winter Wheat,Wheat Winter,23684,Squam Brewing,,4,6,4,American Pale Wheat Ale,-0.4256999669256222,7.2,3.22,3.4384615384615382,3.4384615384615382,136801,Squam Winter Wheat,Wheat Winter,12128,Squam Brewing,13,13,66.0,Wheat Ale,91.0,0.1421311613604061,0.6569365083603362,1.0000000000000002
29526,7.0,3.97,3.975833333333333,3.960833333333333,86.0,137262,Hometown Double Brown,Brown Hometown Double,30697,Henniker Brewing Co.,90.0,12,36,12,American Brown Ale,0.0739889423632269,7.0,3.58,3.7571428571428567,3.7571428571428567,288953,Henniker Hometown Double Brown,Brown Hometown Double,15947,Henniker Brewing Company,14,14,92.0,Brown Ale,98.0,0.5921752470613806,1.0000000000000002,1.0000000000000002
29632,9.2,3.76,3.740434782608696,3.776363636363637,84.0,207342,Wood Devil,Devil Wood,30434,603 Brewery,,11,23,11,American Double / Imperial IPA,-0.5041997219215719,9.2,3.44,3.79,3.79,384650,603 Wood Devil,Devil Wood,15512,603 Brewery,10,10,82.0,Imperial IPA,41.0,0.606597303263747,1.0000000000000002,1.0000000000000002
31190,10.0,3.34,3.3748066298342545,3.358333333333334,78.0,115467,Kentucky Bourbon Barrel Barleywine,Barleywine Kentucky Bourbon Barrel,430,Alltech's Lexington Brewing and Distilling Co.,,36,181,33,American Barleywine,-0.9588360558372964,10.0,3.04,3.0482352941176467,3.0482352941176467,256356,Kentucky Bourbon Barrel Barleywine,Barleywine Kentucky Bourbon Barrel,1212,Alltech Lexington Brewing And Distilling,85,85,40.0,Barley Wine,6.0,-0.6629794421702895,0.4491880917108325,1.0000000000000002
