Beer_type,Rating,std,count
"""IPA - Quadruple""",4.12764705882353,0.2163483710293627,17
"""Freeze-Distilled Beer""",3.9323076923076927,0.1649319984192397,13
"""Strong Ale - Other""",3.911818181818182,0.22053653583105837,11
"""Farmhouse Ale - Bière de Coupage""",3.8699999999999997,0.1450615632855828,15
"""Rye Wine""",3.8644444444444446,0.09166577539673665,18
"""Old / Stock Ale""",3.845833333333333,0.21735845272198856,13
"""IPA - Imperial / Double Milkshake""",3.8449999999999998,0.2307429472211614,14
"""Red Ale - Imperial / Double""",3.7871428571428574,0.20431606629204405,14
"""Bock - Eisbock""",3.7784210526315793,0.2316909617451359,19
"""Porter - Coffee""",3.746153846153846,0.2572462653288499,13
"""IPA - Rye""",3.7358823529411764,0.15914061484774286,17
"""Farmhouse Ale - Brett""",3.72,0.30331501776206227,11
"""Cider - Graff""",3.7181818181818183,0.37215099574818233,11
"""Pale Ale - XPA (Extra Pale)""",3.7053333333333334,0.1168556292834798,15
"""IPA - Imperial / Double Black""",3.680909090909091,0.15990337991765816,11
"""Sour - Other Gose""",3.6726315789473687,0.2794009883316482,19
"""IPA - Red""",3.6614285714285715,0.18367434152941384,14
"""Pale Ale - Milkshake""",3.660833333333333,0.07242028009954816,12
"""Pilsner - New Zealand""",3.6593333333333335,0.12232665091389339,15
"""Brown Ale - American""",3.644615384615385,0.20160255391137719,13
"""Porter - Smoked""",3.641578947368421,0.27072460705576257,19
"""Cider - Perry / Poiré""",3.6407692307692305,0.3139920789463096,13
"""Pilsner - Italian""",3.599285714285714,0.19352854234788391,14
"""Stout - English""",3.5923529411764705,0.1825010072494364,17
"""Red Ale - Other""",3.580909090909091,0.24176246794961975,12
"""Scotch Ale / Wee Heavy""",3.5794736842105266,0.3003234124186518,19
"""Sour - Traditional Gose""",3.5646153846153843,0.24002136657026268,13
"""Lager - American Light""",3.5623076923076926,0.268146534757703,13
"""Bière de Champagne / Bière Brut""",3.5593333333333335,0.1577731946573337,15
"""Schwarzbier""",3.5577777777777775,0.17058913680176477,18
"""Lager - Japanese Rice""",3.5500000000000003,0.2242563468241404,12
"""Brown Ale - English""",3.542666666666667,0.1754775796287974,15
"""Lager - Světlé (Czech Pale)""",3.5425,0.2465074219793578,12
"""Bitter - Extra Special / Strong (ESB)""",3.54,0.17254399025010567,15
"""Mild - Dark""",3.5370588235294114,0.18448457611282687,17
"""Winter Warmer""",3.5288888888888885,0.1329258479218833,19
"""Bitter - Best""",3.522307692307692,0.22657426472549214,13
"""Cider - Sweet""",3.5107692307692306,0.13865193462176786,13
"""Belgian Enkel / Patersbier""",3.5029411764705882,0.11317932153679557,17
"""Lager - Rotbier""",3.4608333333333334,0.21572113030625018,12
"""Lambic - Faro""",3.4499999999999997,0.17014699527173555,17
"""Altbier - Traditional""",3.409090909090909,0.22505352898608566,11
"""Red Ale - Irish""",3.4,0.14019827229875403,19
"""Historical Beer - Other""",3.3984615384615386,0.08444388213937824,14
"""Lager - Amber / Red""",3.3666666666666667,0.0797913946905721,15
"""Lager - American""",3.3464285714285715,0.3217406299599618,14
"""Lager - Dark""",3.2984615384615386,0.46919871685399556,13
"""Non-Alcoholic - Shandy / Radler""",3.1958823529411764,0.3442756675893864,17
