Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Countenance_per_litre,Volume_ml,Price_per_litter,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Troubadour Magma,2.95,Belgium,3.68,Brouwerij The Musketeers,9.0,IPA - Belgian,330ml,"€ 8,94 per litre",330,8.93939393939394,119255,11515,Brouwerij The Musketeers,Imperial IPA,886,96.0,84.0,3.69,9.0,3.6992099322799104,,0,
Orval,3.5,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 11,97 per litre",330,10.606060606060606,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Schönramer Bayrisch Pale Ale,3.4,Germany,3.49,Private Landbrauerei Schönram,5.5,Pale Ale - American,330ml,"€ 10,30 per litre",330,10.303030303030305,170706,2818,Private Landbrauerei Schönram,American Pale Ale,134,53.0,47.0,3.23,5.5,3.232089552238806,-0.3502730665849538,134,3.232089552238806
Tegernseer Dunkel Export,4.6,Germany,3.54,Herzoglich Bayerisches Brauhaus Tegernsee,5.0,Lager - Munich Dunkel,500ml,"€ 9,20 per litre",500,9.2,16952,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dunkel/Tmavý,87,41.0,69.0,3.07,5.0,3.0758620689655176,,0,
Moinette Brune,3.4,Belgium,3.54,Brasserie Dupont,8.5,Belgian Strong Dark Ale,330ml,"€ 10,30 per litre",330,10.303030303030305,6161,808,Brasserie Dupont,Abbey Dubbel,724,91.0,97.0,3.56,8.5,3.564502762430939,,0,
Andechser Spezial Hell,2.29,Germany,3.52,Klosterbrauerei Andechs,5.9,Festbier,500ml,"€ 4,58 per litre",500,4.58,6280,190,Klosterbrauerei Andechs,Dortmunder/Helles,389,48.0,95.0,3.17,5.9,3.1804627249357327,,0,
Weihenstephaner Pils,2.45,Germany,3.57,Bayerische Staatsbrauerei Weihenstephan,5.1,Pilsner - German,500ml,"€ 4,90 per litre",500,4.9,30527,282,Bayerische Staatsbrauerei Weihenstephan,Pilsener,454,45.0,86.0,3.13,5.1,3.1306167400881058,,0,
Długi Weekend,2.3,Poland,3.33,Browar Za Miastem,5.0,Pilsner - German,Bottle 500ml,"€ 4,60 per litre",500,4.6,533966,30982,Browar Za Miastem,Pilsener,1,,,,5.0,3.9,,0,
Moinette Brune,2.7,Belgium,3.54,Brasserie Dupont,8.5,Belgian Strong Dark Ale,330ml,"€ 8,18 per litre",330,8.181818181818182,6161,808,Brasserie Dupont,Abbey Dubbel,724,91.0,97.0,3.56,8.5,3.564502762430939,,0,
Orval,2.95,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 8,94 per litre",330,8.93939393939394,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Störtebeker Roggen-Weizen,2.19,Germany,3.45,Störtebeker Braumanufaktur,5.4,Roggenbier,500ml,"€ 4,38 per litre",500,4.38,77357,951,Störtebeker Braumanufaktur,Specialty Grain,283,56.0,67.0,3.25,5.4,3.2583038869257948,,0,
Rogue Dead Guy Ale,4.9,United States,3.71,Rogue Ales,6.8,Bock - Hell / Maibock / Lentebock,473ml,"€ 19,66 per litre",473,10.35940803382664,589,96,Rogue Ales,Heller Bock,3837,87.0,99.0,3.5,6.5,3.5126922074537403,,0,
Schönramer Hell,4.15,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,"€ 8,30 per litre",500,8.3,17985,2818,Private Landbrauerei Schönram,Dortmunder/Helles,94,31.0,72.0,2.94,5.0,2.96063829787234,-0.7558537661732613,94,2.96063829787234
Schönramer Pils,4.15,Germany,?,Private Landbrauerei Schönram,5.0,Pilsner - German,500ml,"€ 8,30 per litre",500,8.3,16333,2818,Private Landbrauerei Schönram,Pilsener,205,48.0,90.0,3.18,5.0,3.1951219512195124,,0,
Bottle Logic Ocularity,9.5,United States,3.91,Bottle Logic Brewing,8.5,IPA - Imperial / Double,473ml,"€ 20,08 per litre",473,20.084566596194502,330750,18747,Bottle Logic Brewing,Imperial IPA,23,73.0,29.0,3.35,9.5,3.4173913043478263,,0,
Schönramer Pils,2.39,Germany,3.48,Private Landbrauerei Schönram,5.0,Pilsner - German,500ml,"€ 4,78 per litre",500,4.78,16333,2818,Private Landbrauerei Schönram,Pilsener,205,48.0,90.0,3.18,5.0,3.1951219512195124,,0,
Rothaus Hefeweizen,2.8,Germany,3.59,Badische Staatsbrauerei Rothaus,5.4,Wheat Beer - Hefeweizen,500ml,"€ 5,60 per litre",500,5.6,9284,1602,Badische Staatsbrauerei Rothaus,German Hefeweizen,272,63.0,94.0,3.29,5.4,3.2875,-0.1416483837694606,271,3.2863468634686352
Moinette Biologique,6.95,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,Bottle 750ml,"€ 9,27 per litre",750,9.266666666666667,4680,808,Brasserie Dupont,Belgian Strong Ale,996,96.0,96.0,3.71,7.5,3.710140562248996,,0,
Ename Tripel,2.55,Belgium,3.55,Brouwerij Roman,8.5,Belgian Tripel,330ml,"€ 7,73 per litre",330,7.727272727272727,6400,953,Brouwerij Roman,Abbey Tripel,421,50.0,44.0,3.21,8.5,3.211401425178148,,0,
Witkap Pater Tripel,2.55,Belgium,3.48,Brouwerij Slaghmuylder,7.5,Belgian Tripel,330ml,"€ 7,73 per litre",330,7.727272727272727,5397,797,Brouwerij Slaghmuylder,Abbey Tripel,429,79.0,80.0,3.41,7.5,3.4114219114219115,0.1067773129121793,429,3.4114219114219115
Becher Bock,2.2,Germany,3.61,Becher Bräu,7.5,Bock - Single / Traditional,500ml,"€ 4,40 per litre",500,4.4,68264,5494,Becher-Bräu,Heller Bock,11,41.0,51.0,3.07,7.5,3.1090909090909093,,0,
Moeder Overste,2.85,Belgium,3.48,Brasserie Lefebvre,8.0,Belgian Tripel,330ml,"€ 8,64 per litre",330,8.636363636363637,6957,104,Brasserie Lefebvre,Abbey Tripel,305,68.0,62.0,3.33,8.0,3.335409836065573,,0,
Weltenburger Kloster Barock Dunkel,2.49,Germany,3.52,Klosterbrauerei Weltenburg,4.7,Lager - Munich Dunkel,500ml,"€ 4,98 per litre",500,4.98,4024,689,Klosterbrauerei Weltenburg,Dunkel/Tmavý,747,84.0,99.0,3.46,4.7,3.470548862115128,0.1882166918383038,747,3.470548862115128
Schönramer Bayrisch Pale Ale,2.89,Germany,3.49,Private Landbrauerei Schönram,5.5,Pale Ale - American,330ml,"€ 8,76 per litre",330,8.757575757575758,170706,2818,Private Landbrauerei Schönram,American Pale Ale,134,53.0,47.0,3.23,5.5,3.232089552238806,-0.3502730665849538,134,3.232089552238806
Schönramer Pils,2.39,Germany,3.48,Private Landbrauerei Schönram,5.0,Pilsner - German,330ml,"€ 7,24 per litre",330,7.242424242424242,16333,2818,Private Landbrauerei Schönram,Pilsener,205,48.0,90.0,3.18,5.0,3.1951219512195124,,0,
Weihenstephaner Hefeweissbier Dunkel,2.45,Germany,3.76,Bayerische Staatsbrauerei Weihenstephan,5.3,Wheat Beer - Dunkelweizen,500ml,"€ 4,90 per litre",500,4.9,4583,282,Bayerische Staatsbrauerei Weihenstephan,Dunkelweizen,1733,93.0,99.0,3.59,5.3,3.59728793998846,,0,
Veldensteiner Zwickl,1.6,Germany,3.33,Kaiser Bräu,5.4,Kellerbier / Zwickelbier,500ml,"€ 3,20 per litre",500,3.2,38448,2545,Kaiser Bräu,Zwickel/Keller/Landbier,189,40.0,61.0,3.05,5.4,3.052910052910053,,0,
Duvel Tripel Hop Citra,3.0,Belgium,3.68,Duvel Moortgat,9.5,IPA - Belgian,330ml,"€ 9,09 per litre",330,9.09090909090909,496011,247,Duvel Moortgat,Belgian Strong Ale,473,98.0,98.0,3.76,9.5,3.7824524312896406,,0,
Val-Dieu Blonde,2.2,Belgium,3.45,Brasserie de l'Abbaye du Val-Dieu,6.0,Belgian Blonde,330ml,"€ 6,67 per litre",330,6.666666666666667,24198,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,480,50.0,67.0,3.22,6.0,3.226458333333333,,0,
Orval,4.8,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,Bottle 330ml,"€ 14,55 per litre",330,14.545454545454543,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Orval,3.9,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 11,82 per litre",330,11.818181818181817,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Saison Dupont Biologique,3.5,Belgium,3.42,Brasserie Dupont,5.5,Farmhouse Ale - Saison,330ml,"€ 10,61 per litre",330,10.606060606060606,4679,808,Brasserie Dupont,Saison,585,88.0,79.0,3.5,5.5,3.5092307692307694,,0,
Störtebeker Nordik Porter,2.89,Germany,3.56,Störtebeker Braumanufaktur,9.1,Bock - Eisbock,500ml,"€ 5,78 per litre",500,5.78,462577,951,Störtebeker Braumanufaktur,Eisbock,24,94.0,88.0,3.64,9.1,3.75,0.4643586001615565,24,3.75
Nittenauer Pilsner,2.29,Germany,3.36,Brauhaus Nittenau,4.9,Pilsner - German,500ml,"€ 4,58 per litre",500,4.58,387698,8757,Brauhaus Nittenau,Pilsener,1,,,2.98,4.9,3.2,,0,
Sloeber,2.35,Belgium,3.41,Brouwerij Roman,7.5,Belgian Strong Golden Ale,330ml,"€ 7,12 per litre",330,7.121212121212121,6401,953,Brouwerij Roman,Belgian Strong Ale,368,44.0,27.0,3.11,7.5,3.107880434782609,,0,
Schimpf Bockbier,2.49,Germany,3.36,Kronenbrauerei Schimpf,7.2,Bock - Hell / Maibock / Lentebock,330ml,"€ 7,55 per litre",330,7.545454545454546,114729,4991,Kronenbrauerei Schimpf,Heller Bock,15,44.0,60.0,3.1,7.2,3.140000000000001,,0,
Schimpf Weihnachtsbier,2.39,Germany,3.32,Kronenbrauerei Schimpf,5.2,Lager - Winter,500ml,"€ 4,78 per litre",500,4.78,114114,4991,Kronenbrauerei Schimpf,Oktoberfest/Märzen,8,,,3.05,5.2,3.1125,,0,
Weihenstephaner Vitus,2.95,Germany,3.84,Bayerische Staatsbrauerei Weihenstephan,7.7,Bock - Weizenbock,500ml,"€ 5,90 per litre",500,5.9,70791,282,Bayerische Staatsbrauerei Weihenstephan,Weizen Bock,1872,98.0,99.0,3.76,7.7,3.7773504273504273,0.6962262600276231,1872,3.7773504273504273
Vedett Extra Ordinary IPA,2.55,Belgium,3.49,Duvel Moortgat,5.5,IPA - Belgian,330ml,"€ 7,73 per litre",330,7.727272727272727,253212,247,Duvel Moortgat,India Pale Ale (IPA),420,59.0,39.0,3.27,5.5,3.2721428571428577,,0,
Val-Dieu Grand Cru,3.95,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,330ml,"€ 11,97 per litre",330,11.969696969696969,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Val-Dieu Triple,3.95,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,330ml,"€ 11,97 per litre",330,11.969696969696969,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
Val-Dieu Brune,3.5,Belgium,3.50,Brasserie de l'Abbaye du Val-Dieu,8.0,Belgian Dubbel,330ml,"€ 10,61 per litre",330,10.606060606060606,8762,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Dubbel,598,86.0,94.0,3.48,8.0,3.4859531772575267,0.2220401921067151,598,3.4859531772575267
Zötler Gold,2.29,Germany,3.31,Privat-Brauerei Zötler,5.3,Lager - Dortmunder / Export,500ml,"€ 4,58 per litre",500,4.58,63380,2725,Privat-Brauerei Zötler,Dortmunder/Helles,75,20.0,39.0,2.76,5.1,2.748,,0,
Zötler Pils,2.29,Germany,3.31,Privat-Brauerei Zötler,4.9,Pilsner - German,500ml,"€ 4,58 per litre",500,4.58,58476,2725,Privat-Brauerei Zötler,Pilsener,44,26.0,50.0,2.87,4.7,2.863636363636364,-0.8482281174610126,44,2.863636363636364
Zötler Gold Alkoholfrei,2.29,Germany,2.93,Privat-Brauerei Zötler,0.2,Non-Alcoholic - Lager,500ml,"€ 4,58 per litre",500,4.58,343562,2725,Privat-Brauerei Zötler,Low Alcohol,9,,,2.09,0.2,1.7444444444444445,,0,
Abbaye des Rocs Brune,3.03,Belgium,3.64,Brasserie de l'Abbaye des Rocs,9.0,Belgian Strong Dark Ale,330ml,"€ 9,18 per litre",330,9.181818181818182,832,131,Brasserie de lAbbaye des Rocs,Belgian Strong Ale,1564,100.0,100.0,4.03,9.0,4.037020460358057,,0,
Val-Dieu Grand Cru,6.95,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,Bottle 750ml,"€ 9,27 per litre",750,9.266666666666667,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Budels Herfstbock,2.4,Netherlands,3.30,Budelse Brouwerij,6.5,Bock - Single / Traditional,330ml,"€ 7,27 per litre",330,7.272727272727272,12483,1684,Budelse Brouwerij,Dunkler Bock,106,44.0,61.0,3.11,6.5,3.1150943396226416,,0,
Tegernseer Pils,2.39,Germany,3.41,Herzoglich Bayerisches Brauhaus Tegernsee,5.0,Pilsner - German,330ml,"€ 7,24 per litre",330,7.242424242424242,86452,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Pilsener,47,35.0,70.0,2.99,5.0,3.0042553191489367,-0.6467077552848856,47,3.0042553191489367
Orval,3.1,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 9,39 per litre",330,9.393939393939394,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Ename Pater,1.95,Belgium,3.45,Brouwerij Roman,5.5,Belgian Enkel / Patersbier,330ml,"€ 5,91 per litre",330,5.909090909090908,322880,953,Brouwerij Roman,Belgian Ale,49,62.0,81.0,3.29,5.5,3.318367346938776,,0,
Texels Bock,8.95,Netherlands,3.48,Texelse Bierbrouwerij,7.0,Bock - Single / Traditional,Bottle 750ml,"€ 11,93 per litre",750,11.933333333333332,17378,1995,Texelse Bierbrouwerij,Dunkler Bock,168,71.0,94.0,3.35,7.0,3.361904761904761,,0,
Weihenstephaner Korbinian,2.95,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,7.4,Bock - Doppelbock,500ml,"€ 5,90 per litre",500,5.9,7823,282,Bayerische Staatsbrauerei Weihenstephan,Doppelbock,1709,98.0,99.0,3.77,7.4,3.777296664716208,0.7044396684252344,1709,3.777296664716208
Tegernseer Hell,1.83,Germany,3.63,Herzoglich Bayerisches Brauhaus Tegernsee,4.8,Lager - Helles,500ml,"€ 3,66 per litre",500,3.66,17116,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,277,35.0,80.0,2.99,4.8,3.0166064981949456,-0.6486090732774977,277,3.0166064981949456
Weißenoher Altfränkisch Klosterbier,1.5,Germany,3.43,Klosterbrauerei Weissenohe,5.1,Märzen,500ml,"€ 3,00 per litre",500,3.0,40459,3892,Klosterbrauerei Weißenohe,Oktoberfest/Märzen,145,49.0,89.0,3.2,5.1,3.211034482758621,,0,
Windhoek Lager,2.9,Namibia,3.04,Namibia Breweries,4.0,Lager - Pale,330ml,"€ 8,79 per litre",330,8.787878787878787,4622,793,Namibia Breweries,Pale Lager,442,5.0,52.0,2.15,4.0,2.181900452488688,,0,
Verzet Kameradski Balsamico,4.19,Belgium,3.63,Brouwerij 't Verzet,12.5,Stout - Russian Imperial,Bottle 330ml,"€ 12,70 per litre",330,12.696969696969695,472946,12773,Brouwerij t Verzet,Imperial Stout,36,99.0,84.0,3.83,13.5,3.9277777777777767,,0,
AleSmith IPA,10.2,United States,3.78,AleSmith Brewing Company,6.0,Pale Ale - American,473ml,"€ 21,56 per litre",473,21.56448202959831,14396,432,AleSmith Brewing Company,India Pale Ale (IPA),2366,100.0,100.0,4.08,7.25,4.084319526627219,,0,
Pinkus Hefe Weizen,2.75,Germany,3.42,Brauerei Pinkus Müller,5.0,Wheat Beer - Hefeweizen,500ml,"€ 5,50 per litre",500,5.5,4552,742,Brauerei Pinkus Müller,German Hefeweizen,600,28.0,36.0,2.9,5.0,2.9008333333333334,,0,
Nittenauer Festbier,2.19,Germany,3.42,Brauhaus Nittenau,5.7,Märzen,500ml,"€ 4,38 per litre",500,4.38,146875,8757,Brauhaus Nittenau,Oktoberfest/Märzen,12,31.0,44.0,2.93,5.7,2.933333333333333,,0,
Duvel,2.95,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 8,94 per litre",330,8.93939393939394,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Duvel Tripel Hop Citra,3.75,Belgium,3.68,Duvel Moortgat,9.5,IPA - Belgian,330ml,"€ 11,36 per litre",330,11.363636363636363,496011,247,Duvel Moortgat,Belgian Strong Ale,473,98.0,98.0,3.76,9.5,3.7824524312896406,,0,
Orval,3.59,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 10,88 per litre",330,10.878787878787875,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Gentse Strop,2.3,Belgium,3.46,Brouwerij Roman,6.9,Belgian Blonde,330ml,"€ 6,97 per litre",330,6.969696969696969,146019,953,Brouwerij Roman,Belgian Ale,220,52.0,70.0,3.23,6.9,3.24,,0,
Bayreuther Hefe-Weissbier,2.29,Germany,3.60,Bayreuther Bierbrauerei,5.3,Wheat Beer - Hefeweizen,500ml,"€ 4,58 per litre",500,4.58,213594,3742,Bayreuther Bierbrauerei,German Hefeweizen,58,50.0,88.0,3.21,5.2,3.2293103448275864,,0,
Bayreuther Hell,2.29,Germany,3.52,Bayreuther Bierbrauerei,4.9,Lager - Helles,500ml,"€ 4,58 per litre",500,4.58,24571,3742,Bayreuther Bierbrauerei,Dortmunder/Helles,165,22.0,46.0,2.82,4.9,2.8157575757575763,,0,
Bink Blond,2.35,Belgium,3.28,Brouwerij Kerkom,5.5,Belgian Blonde,330ml,"€ 7,12 per litre",330,7.121212121212121,10787,1810,Brouwerij Kerkom,Belgian Ale,362,65.0,83.0,3.31,5.5,3.3129834254143646,,0,
Orval,2.85,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 8,64 per litre",330,8.636363636363637,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Texels Skuumkoppe,1.9,Netherlands,3.62,Texelse Bierbrouwerij,6.0,Wheat Beer - Dunkelweizen,Bottle 300ml,"€ 6,33 per litre",300,6.333333333333333,23569,1995,Texelse Bierbrouwerij,Dunkelweizen,264,44.0,64.0,3.12,6.0,3.138636363636364,-0.4292250556278051,264,3.138636363636364
Verzet Golden Tricky,2.61,Belgium,3.47,Brouwerij 't Verzet,7.5,IPA - Belgian,Bottle 330ml,"€ 7,91 per litre",330,7.909090909090908,248776,12773,Brouwerij t Verzet,India Pale Ale (IPA),148,86.0,74.0,3.48,7.5,3.5,,0,
La Rulles Estivale,8.58,Belgium,3.52,Brasserie Artisanale de Rulles,5.2,Farmhouse Ale - Saison,Bottle 750ml,"€ 11,44 per litre",750,11.44,48719,1896,Brasserie Artisanale de Rulles,Belgian Ale,621,95.0,99.0,3.65,5.2,3.660869565217391,,0,
Bayreuther Hell,2.0,Germany,3.52,Bayreuther Bierbrauerei,4.9,Lager - Helles,500ml,"€ 4,00 per litre",500,4.0,24571,3742,Bayreuther Bierbrauerei,Dortmunder/Helles,165,22.0,46.0,2.82,4.9,2.8157575757575763,,0,
Störtebeker Roggen-Weizen,3.5,Germany,3.45,Störtebeker Braumanufaktur,5.4,Roggenbier,500ml,"€ 7,00 per litre",500,7.0,77357,951,Störtebeker Braumanufaktur,Specialty Grain,283,56.0,67.0,3.25,5.4,3.2583038869257948,,0,
Schneider Weisse Original,2.9,Germany,3.66,Schneider Weisse G. Schneider & Sohn,5.4,Wheat Beer - Hefeweizen,330ml,"€ 8,79 per litre",330,8.787878787878787,1762,313,Schneider Weisse G. Schneider & Sohn GmbH,German Hefeweizen,2172,92.0,100.0,3.58,5.4,3.58609576427256,,0,
Troubadour Blond,2.5,Belgium,3.48,Brouwerij The Musketeers,6.5,Belgian Blonde,330ml,"€ 7,58 per litre",330,7.575757575757575,7571,11515,Brouwerij The Musketeers,Belgian Ale,679,78.0,91.0,3.4,6.5,3.401325478645066,,0,
Pinta Modern Drinking,3.46,Poland,3.66,Browar PINTA,6.5,IPA - American,500ml,"€ 6,92 per litre",500,6.92,379286,12742,Browar PINTA,India Pale Ale (IPA),352,97.0,97.0,3.72,6.4,3.7474431818181815,,0,
Pinta Pierwsza Pomoc,2.89,Poland,3.24,Browar PINTA,4.3,Pilsner - Other,500ml,"€ 5,78 per litre",500,5.78,147325,12742,Browar PINTA,Czech Pilsner (Světlý),244,45.0,82.0,3.14,4.1,3.1274590163934426,,0,
Westmalle Dubbel,3.9,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,"€ 11,82 per litre",330,11.818181818181817,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Gaffel Kölsch,2.29,Germany,3.35,Privatbrauerei Gaffel Becker,4.8,Kölsch,500ml,"€ 4,58 per litre",500,4.58,1692,301,Privatbrauerei Gaffel Becker & Co.,Kölsch,1019,30.0,44.0,2.93,4.8,2.9378802747791952,-0.7203363195521605,1019,2.9378802747791952
Duvel,2.82,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 8,55 per litre",330,8.545454545454545,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
De la Senne Zinnebir,2.77,Belgium,3.40,Brasserie de la Senne,5.8,Pale Ale - Belgian,Bottle 330ml,"€ 8,39 per litre",330,8.393939393939394,40467,5322,Brasserie de la Senne,Belgian Ale,778,89.0,96.0,3.52,6.0,3.5264781491002566,,0,
Lindenhardter Landbier,2.1,Germany,3.48,Brauerei Kürzdörfer,5.0,Lager - Munich Dunkel,500ml,"€ 4,20 per litre",500,4.2,38252,5082,Brauerei Kürzdörfer,Zwickel/Keller/Landbier,19,57.0,91.0,3.24,5.0,3.3052631578947365,,0,
Andechser Weissbier Hell,2.85,Germany,3.71,Klosterbrauerei Andechs,5.5,Wheat Beer - Hefeweizen,500ml,"€ 5,70 per litre",500,5.7,6002,190,Klosterbrauerei Andechs,German Hefeweizen,679,95.0,100.0,3.65,5.5,3.6589101620029454,,0,
The Garden India Pale Ale,3.2,Croatia,3.77,The Garden Brewery,6.0,IPA - Milkshake,330ml,"€ 9,70 per litre",330,9.696969696969695,456060,27384,The Garden Brewery,India Pale Ale (IPA),37,80.0,62.0,3.42,6.5,3.472972972972973,,0,
The Garden Pale Ale,3.2,Croatia,3.57,The Garden Brewery,4.8,Pale Ale - American,330ml,"€ 9,70 per litre",330,9.696969696969695,451239,27384,The Garden Brewery,American Pale Ale,35,61.0,55.0,3.28,5.1,3.3171428571428567,,0,
Duvel,4.0,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 12,12 per litre",330,12.12121212121212,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
