Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Countenance_per_litre,Volume_ml,Price_per_litter,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Störtebeker Hanse-Porter,2.19,Germany,3.11,Störtebeker Braumanufaktur,4.0,Porter - Other,500ml,"€ 4,38 per litre",500,4.38,56569,951,Störtebeker Braumanufaktur,Porter,258,9.0,1.0,2.45,4.0,2.436821705426357,-1.69327603244733,258,2.436821705426357
Schönramer Hell,2.75,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,"€ 5,50 per litre",500,5.5,17985,2818,Private Landbrauerei Schönram,Dortmunder/Helles,94,31.0,72.0,2.94,5.0,2.96063829787234,-0.7558537661732613,94,2.96063829787234
Störtebeker Bernstein-Weizen,2.85,Germany,3.43,Störtebeker Braumanufaktur,5.3,Wheat Beer - Hefeweizen,500ml,"€ 5,70 per litre",500,5.7,39881,951,Störtebeker Braumanufaktur,German Hefeweizen,359,45.0,75.0,3.13,5.3,3.136768802228412,,0,
Gaffel Kölsch,2.95,Germany,3.35,Privatbrauerei Gaffel Becker,4.8,Kölsch,500ml,"€ 5,90 per litre",500,5.9,1692,301,Privatbrauerei Gaffel Becker & Co.,Kölsch,1019,30.0,44.0,2.93,4.8,2.9378802747791952,-0.7203363195521605,1019,2.9378802747791952
Jandrain-Jandrenouille IV Saison,2.25,Belgium,3.64,Brasserie de Jandrain-Jandrenouille,6.5,Farmhouse Ale - Saison,Bottle 330ml,"€ 6,82 per litre",330,6.8181818181818175,79849,9051,Brasserie de Jandrain-Jandrenouille,Saison,502,95.0,93.0,3.66,6.5,3.6703187250996017,,0,
Jandrain-Jandrenouille V Cense,2.25,Belgium,3.53,Brasserie de Jandrain-Jandrenouille,7.0,Farmhouse Ale - Saison,330ml,"€ 6,82 per litre",330,6.8181818181818175,99366,9051,Brasserie de Jandrain-Jandrenouille,Belgian Ale,309,87.0,95.0,3.49,7.0,3.5009708737864083,0.2105047948656891,309,3.5009708737864083
Schönramer Hell,2.29,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,"€ 4,58 per litre",500,4.58,17985,2818,Private Landbrauerei Schönram,Dortmunder/Helles,94,31.0,72.0,2.94,5.0,2.96063829787234,-0.7558537661732613,94,2.96063829787234
Verzet Oud Bruin,3.12,Belgium,3.59,Brouwerij 't Verzet,6.0,Sour - Flanders Oud Bruin,330ml,"€ 9,45 per litre",330,9.454545454545457,182802,12773,Brouwerij t Verzet,Sour Red/Brown,315,94.0,69.0,3.62,6.0,3.6288888888888886,,0,
Val-Dieu Bière de Noël,6.95,Belgium,3.55,Brasserie de l'Abbaye du Val-Dieu,7.0,Winter Warmer,Bottle 750ml,"€ 9,27 per litre",750,9.266666666666667,12172,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,348,79.0,91.0,3.41,7.0,3.410344827586207,,0,
Val-Dieu Bière de Noël,2.95,Belgium,3.55,Brasserie de l'Abbaye du Val-Dieu,7.0,Winter Warmer,330ml,"€ 8,94 per litre",330,8.93939393939394,12172,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,348,79.0,91.0,3.41,7.0,3.410344827586207,,0,
Troubadour Westkust,2.7,Belgium,3.56,Brouwerij The Musketeers,8.6,IPA - Imperial / Double Black,Bottle 500ml,"€ 12,40 per litre",500,5.4,172328,11515,Brouwerij The Musketeers,Black IPA,538,97.0,95.0,3.71,9.2,3.718401486988848,,0,
