Beer_type_general,Rating,std,count
"""Freeze-Distilled Beer""",3.9323076923076927,0.1649319984192397,13
"""Stout""",3.9114761593729592,0.23500697233408196,1542
"""Lambic""",3.907834645669291,0.2572954635030143,766
"""Wild Ale""",3.9066829268292684,0.18500853703466072,212
"""IPA""",3.875091309130913,0.23781594399641437,4564
"""Barleywine""",3.866293103448276,0.19352742983726565,233
"""Rye Wine""",3.8644444444444446,0.09166577539673665,18
"""Old / Stock Ale""",3.845833333333333,0.21735845272198856,13
"""Grape Ale""",3.84375,0.2638194806886037,89
"""Sour""",3.83660643704122,0.2551885363578955,1778
"""Belgian Quadrupel""",3.785140186915888,0.19775911028666515,219
"""Strong Ale""",3.768620689655173,0.2157830282272821,30
"""Porter""",3.762641509433962,0.24682067419807985,321
"""Belgian Strong Dark Ale""",3.7553403141361255,0.20987656622507203,192
"""Farmhouse Ale""",3.7326797385620916,0.2328145799766702,465
"""Mead""",3.728,0.24973319095920476,25
"""Pale Ale""",3.661309686221009,0.21007721291037412,738
"""Belgian Strong Golden Ale""",3.6428426395939084,0.1759262386282818,197
"""Cider""",3.639322033898305,0.2359380690957096,256
"""Pumpkin / Yam Beer""",3.627727272727273,0.3306981333652423,22
"""Smoked Beer""",3.6245833333333333,0.3052722116217032,24
"""Brett Beer""",3.6021739130434782,0.2891359623828953,23
"""Belgian Tripel""",3.594458598726115,0.15387226633190718,474
"""Brown Ale""",3.5897777777777775,0.2664286390862352,90
"""Historical Beer""",3.587761194029851,0.2946174761604594,68
"""Scotch Ale / Wee Heavy""",3.5794736842105266,0.3003234124186518,19
"""Winter Ale""",3.578859649122807,0.16995449037867694,118
"""Bière de Champagne / Bière Brut""",3.5593333333333335,0.1577731946573337,15
"""Schwarzbier""",3.5577777777777775,0.17058913680176477,18
"""Mild""",3.5477777777777777,0.1846636228247763,19
"""Rauchbier""",3.540363636363636,0.22067206804704934,56
"""Table Beer""",3.5333333333333337,0.36431213723033345,22
"""Belgian Dubbel""",3.532406015037594,0.20191938976617685,133
"""Winter Warmer""",3.5288888888888885,0.1329258479218833,19
"""Red Ale""",3.5259722222222223,0.2222082497563512,73
"""Kölsch""",3.5239999999999996,0.1997081203490066,26
"""Bock""",3.522520107238606,0.19953596099204954,375
"""Bitter""",3.5145714285714287,0.19653382970493238,35
"""Wheat Beer""",3.5095238095238095,0.18149249431360975,570
"""Festbier""",3.504545454545455,0.14858583780486023,81
"""Belgian Enkel / Patersbier""",3.5029411764705882,0.11317932153679557,17
"""Gluten-Free""",3.463717948717949,0.3740029480207409,78
"""Kellerbier / Zwickelbier""",3.459545454545455,0.14194861792864658,133
"""Lager""",3.4521471471471474,0.21937789547245648,671
"""Märzen""",3.447636363636364,0.17026084167756905,55
"""Belgian Blonde""",3.4411627906976747,0.13346112628311496,259
"""Pilsner""",3.439942196531792,0.22144845210325861,349
"""Fruit Beer""",3.4302479338842975,0.2407331261304291,121
"""Altbier""",3.4225,0.21955015993451868,12
"""Blonde / Golden Ale""",3.417178217821782,0.13995897736148144,203
"""Honey Beer""",3.3890000000000002,0.1976147235085697,20
"""Shandy / Radler""",3.3373170731707322,0.26151505109882206,41
"""Spiced / Herbed Beer""",3.2558333333333334,0.29736341402398514,37
"""Non-Alcoholic""",3.1804672897196262,0.2929067266550809,538
