Beer_type,Rating,std,count
IPA - Quadruple,4.12764705882353,0.2163483710293627,17
IPA - Triple New England / Hazy,4.114939759036145,0.15523099888778394,166
IPA - Imperial / Double New England / Hazy,4.04563614744352,0.1638004181237669,843
Stout - Imperial / Double Coffee,4.030588235294118,0.15954065716460955,85
IPA - Triple,4.025942028985508,0.2685873657872398,69
Sour - Smoothie / Pastry,4.00661670235546,0.22440218334968684,467
Stout - Imperial / Double Pastry,4.001166077738516,0.16413447170733617,285
Stout - Imperial / Double Milk,3.971166666666667,0.19148918336196638,60
Stout - Imperial / Double,3.970575692963753,0.19474256820080169,472
Stout - Russian Imperial,3.9675757575757578,0.18562333406777876,198
IPA - Imperial / Double,3.95821978021978,0.23124475477789053,456
Lambic - Gueuze,3.9549999999999996,0.24984368446423993,376
Stout - Imperial / Double Oatmeal,3.947857142857143,0.28216566112385133,28
Lambic - Fruit,3.9441726618705037,0.21153990023666552,141
Freeze-Distilled Beer,3.9323076923076927,0.1649319984192398,13
Lambic - Other,3.9299999999999997,0.18322507626258083,37
Porter - Imperial / Double,3.9150746268656715,0.17252468540392207,68
Wild Ale - Other,3.912456140350877,0.18319337936040736,178
Strong Ale - Other,3.911818181818182,0.22053653583105837,11
Porter - Imperial / Double Baltic,3.908214285714286,0.19388006735990299,57
IPA - New Zealand,3.8945714285714286,0.18882520484086146,35
IPA - New England / Hazy,3.890578512396694,0.18033377823093882,1456
Wild Ale - American,3.8776470588235297,0.19407994016102117,34
Barleywine - Other,3.87,0.19481202257030023,117
Farmhouse Ale - Bière de Coupage,3.8699999999999997,0.14506156328558278,15
Barleywine - English,3.8666666666666663,0.21494185260204696,55
IPA - Sour,3.864520547945206,0.26709362224534705,74
Rye Wine,3.8644444444444446,0.09166577539673665,18
Barleywine - American,3.8616666666666664,0.1730402781236417,60
Brown Ale - Imperial / Double,3.8534615384615383,0.2244093101044127,26
Wheat Beer - Wheat Wine,3.8531999999999997,0.13224724319747955,25
Farmhouse Ale - Other,3.85,0.1876166303929372,61
Old / Stock Ale,3.845833333333333,0.2173584527219887,13
IPA - Imperial / Double Milkshake,3.8449999999999998,0.2307429472211614,14
Lambic - Kriek,3.843740458015267,0.26684866318358375,132
Stout - Pastry,3.83864406779661,0.21250117749871442,61
IPA - Milkshake,3.8367741935483872,0.21796616093290247,33
Grape Ale - Other,3.832439024390244,0.2683583424076417,83
Sour - Other,3.8147115384615384,0.1990142700234934,209
Sour - Fruited,3.803939393939394,0.2332311229326483,628
Pale Ale - New England / Hazy,3.803818181818182,0.14908844372208604,221
Sour - Flanders Oud Bruin,3.7955102040816326,0.179002574754408,49
Lambic - Framboise,3.7924,0.26104405758415583,25
Sour - Flanders Red Ale,3.791,0.24058333064252554,60
Lambic - Traditional,3.788947368421052,0.2468809700468343,38
Red Ale - Imperial / Double,3.7871428571428574,0.20431606629204405,14
Belgian Quadrupel,3.785140186915888,0.19775911028666515,219
Farmhouse Ale - Grisette,3.7823076923076924,0.2153937360706239,26
Bock - Eisbock,3.7784210526315793,0.2316909617451359,19
Stout - American,3.7663157894736843,0.22811328877253084,21
Stout - Belgian,3.7659999999999996,0.33875002427655776,21
Stout - Milk / Sweet,3.7612328767123286,0.2167240001417538,73
Historical Beer - Gruit / Ancient Herbed Ale,3.7602631578947365,0.22086423421940865,38
Sour - Fruited Berliner Weisse,3.7569375000000003,0.2493463073214485,162
Belgian Strong Dark Ale,3.7553403141361255,0.20987656622507206,192
Porter - Baltic,3.7495999999999996,0.17867951014858652,50
IPA - American,3.74875,0.19423826451387038,740
Porter - Coffee,3.746153846153846,0.2572462653288499,13
Cider - Other Fruit,3.7454347826086956,0.22460539739966792,54
Stout - Foreign / Export,3.744242424242424,0.22355131266431735,33
IPA - Rye,3.7358823529411764,0.15914061484774286,17
Stout - Coffee,3.7320930232558136,0.21472638336280606,43
Farmhouse Ale - Brett,3.72,0.30331501776206227,11
Cider - Graff,3.7181818181818183,0.37215099574818233,11
Farmhouse Ale - Saison,3.707210031347962,0.23468309240616383,323
Pale Ale - XPA (Extra Pale),3.7053333333333334,0.1168556292834798,15
Sour - Fruited Gose,3.6933027522935777,0.2004395865659404,111
IPA - Cold,3.686216216216216,0.11875163978637088,38
IPA - Imperial / Double Black,3.680909090909091,0.15990337991765816,11
Pale Ale - New Zealand,3.6734999999999998,0.17933429530818754,20
IPA - Fruited,3.672878787878788,0.23597760748730226,66
Sour - Other Gose,3.6726315789473687,0.2794009883316482,19
