Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Triporteur From Hell,2.3,Belgium,3.41,BOMBrewery,6.6,Brown Ale - Belgian,330ml,330,6.97,Brown Ale,175234,14632,BOMBrouwerij,Belgian Ale,218,70.0,87.0,3.34,6.66,3.35,,0,
Saison Dupont Biologique,2.3,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,330ml,330,6.97,Farmhouse Ale,4679,808,Brasserie Dupont,Saison,585,88.0,79.0,3.5,5.5,3.5092307692307694,,0,
Vleteren Alt,2.3,Belgium,3.49,Deca Brouwerij,8.0,Belgian Dubbel,330ml,330,6.97,Belgian Dubbel,10677,1708,Deca Services,Belgian Strong Ale,180,76.0,64.0,3.39,8.0,3.3988888888888886,,0,
Budels Goudblond,2.1,Netherlands,3.16,Budelse Brouwerij,6.0,Blonde / Golden Ale - Other,300ml,300,7.0,Blonde / Golden Ale,115535,1684,Budelse Brouwerij,Golden Ale/Blond Ale,153,19.0,22.0,2.75,6.0,2.739869281045752,-0.965987366819736,153,2.739869281045752
Budels Honing,2.1,Netherlands,3.15,Budelse Brouwerij,4.5,Honey Beer,300ml,300,7.0,Honey Beer,22706,1684,Budelse Brouwerij,Pale Lager,117,6.0,69.0,2.26,4.5,2.235897435897436,,0,
Sloeber,2.35,Belgium,3.41,Brouwerij Roman,7.5,Belgian Strong Golden Ale,330ml,330,7.12,Belgian Strong Golden Ale,6401,953,Brouwerij Roman,Belgian Strong Ale,368,44.0,27.0,3.11,7.5,3.107880434782609,,0,
Abbaye des Rocs Brune,2.35,Belgium,3.64,Brasserie de l'Abbaye des Rocs,9.0,Belgian Strong Dark Ale,330ml,330,7.12,Belgian Strong Dark Ale,832,131,Brasserie de lAbbaye des Rocs,Belgian Strong Ale,1564,100.0,100.0,4.03,9.0,4.037020460358057,,0,
Val-Dieu Brune,2.35,Belgium,3.5,Brasserie de l'Abbaye du Val-Dieu,8.0,Belgian Dubbel,330ml,330,7.12,Belgian Dubbel,8762,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Dubbel,598,86.0,94.0,3.48,8.0,3.4859531772575267,0.2220401921067151,598,3.4859531772575267
Tripel Karmeliet,2.35,Belgium,3.99,Brouwerij Bosteels,8.4,Belgian Tripel,330ml,330,7.12,Belgian Tripel,5368,632,Brouwerij Bosteels (AB-InBev),Abbey Tripel,3442,99.0,100.0,3.93,8.4,3.9431435212086,,0,
Bink Blond,2.35,Belgium,3.28,Brouwerij Kerkom,5.5,Belgian Blonde,330ml,330,7.12,Belgian Blonde,10787,1810,Brouwerij Kerkom,Belgian Ale,362,65.0,83.0,3.31,5.5,3.3129834254143646,,0,
Tegernseer Pils,2.39,Germany,3.41,Herzoglich Bayerisches Brauhaus Tegernsee,5.0,Pilsner - German,330ml,330,7.24,Pilsner,86452,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Pilsener,47,35.0,70.0,2.99,5.0,3.0042553191489367,-0.6467077552848856,47,3.0042553191489367
Triporteur Full Moon 12,2.4,Belgium,3.76,BOMBrewery,10.2,Belgian Quadrupel,330ml,330,7.27,Belgian Quadrupel,304055,14632,BOMBrouwerij,Abt/Quadrupel,117,92.0,65.0,3.57,10.2,3.5931623931623933,,0,
Chouffe Bok 6666,2.4,Belgium,3.48,Brasserie d'Achouffe,6.66,Bock - Single / Traditional,330ml,330,7.27,Bock,1618,285,Brasserie dAchouffe  (Duvel-Moortgat),Dunkler Bock,279,75.0,95.0,3.38,6.5,3.3655913978494625,,0,
La Chouffe,2.4,Belgium,3.82,Brasserie d'Achouffe,8.0,Belgian Strong Golden Ale,330ml,330,7.27,Belgian Strong Golden Ale,1614,285,Brasserie dAchouffe  (Duvel-Moortgat),Belgian Strong Ale,2468,97.0,98.0,3.76,8.0,3.762074554294976,,0,
Van Honsebrouck Filou,2.4,Belgium,3.53,Kasteel Brouwerij Vanhonsebrouck,8.5,Belgian Tripel,330ml,330,7.27,Belgian Tripel,284930,956,Brouwerij Van Honsebrouck,Abbey Tripel,159,44.0,32.0,3.12,8.5,3.122012578616352,-0.6140233908770016,159,3.122012578616352
Steenbrugge Blond,2.4,Belgium,3.41,Brouwerij Palm,6.5,Belgian Blonde,330ml,330,7.27,Belgian Blonde,85695,670,Brouwerij Palm,Belgian Ale,296,43.0,48.0,3.11,6.5,3.108108108108108,,0,
Budels Herfstbock,2.4,Netherlands,3.3,Budelse Brouwerij,6.5,Bock - Single / Traditional,330ml,330,7.27,Bock,12483,1684,Budelse Brouwerij,Dunkler Bock,106,44.0,61.0,3.11,6.5,3.1150943396226416,,0,
Gentse Strop,2.45,Belgium,3.56,Brouwerij Van Steenberge,8.0,Belgian Tripel,330ml,330,7.42,Belgian Tripel,146019,953,Brouwerij Roman,Belgian Ale,220,52.0,70.0,3.23,6.9,3.24,,0,
Duvel,2.45,Belgium,3.72,Duvel Moortgat,6.66,Belgian Strong Golden Ale,330ml,330,7.42,Belgian Strong Golden Ale,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Oakham Citra,3.71,England,3.62,Oakham Ales,4.6,IPA - Session,500ml,500,7.42,IPA,116128,1100,Oakham,American Pale Ale,597,93.0,96.0,3.59,4.2,3.6068676716917927,,0,
Beyerd Speciaal Blond,2.49,Netherlands,3.45,Brouwerij De Beyerd,6.9,Blonde / Golden Ale - Other,330ml,330,7.55,Blonde / Golden Ale,355887,5766,Bierbrouwerij De Beyerd,Golden Ale/Blond Ale,2,,,2.97,6.0,3.05,,0,
Schimpf Bockbier,2.49,Germany,3.36,Kronenbrauerei Schimpf,7.2,Bock - Hell / Maibock / Lentebock,330ml,330,7.55,Bock,114729,4991,Kronenbrauerei Schimpf,Heller Bock,15,44.0,60.0,3.1,7.2,3.140000000000001,,0,
Pater Lieven Wit,2.49,Belgium,3.33,Brouwerij Van Den Bossche,4.5,Wheat Beer - Witbier / Blanche,330ml,330,7.55,Wheat Beer,44657,1476,Van Den Bossche,Witbier,122,47.0,69.0,3.16,4.5,3.1786885245901644,,0,
Troubadour Blond,2.5,Belgium,3.48,Brouwerij The Musketeers,6.5,Belgian Blonde,330ml,330,7.58,Belgian Blonde,7571,11515,Brouwerij The Musketeers,Belgian Ale,679,78.0,91.0,3.4,6.5,3.401325478645066,,0,
Paljas Blond,2.5,Belgium,3.37,Brouwerij Henricus,6.0,Belgian Blonde,330ml,330,7.58,Belgian Blonde,200112,13490,Brouwerij Anders!,Belgian Ale,137,57.0,76.0,3.25,6.0,3.2737226277372264,,0,
Triporteur From Heaven,2.5,Belgium,3.55,BOMBrewery,6.2,Belgian Blonde,330ml,330,7.58,Belgian Blonde,175233,14632,BOMBrouwerij,Golden Ale/Blond Ale,211,76.0,98.0,3.38,6.2,3.3919431279620853,,0,
Bacchus Vlaams Oud Bruin,2.85,Belgium,3.57,Kasteel Brouwerij Vanhonsebrouck,4.5,Sour - Flanders Oud Bruin,Bottle 375ml,375,7.6,Sour,6105,956,Brouwerij Van Honsebrouck,Sour Red/Brown,691,65.0,30.0,3.31,4.5,3.310709117221418,,0,
Toetëlèr Speculaas,2.51,Belgium,3.09,Brouwerij Den Toetëlèr,8.5,Spiced / Herbed Beer,330ml,330,7.61,Spiced / Herbed Beer,193872,12610,Brouwerij Den Toetëlèr,Spice/Herb/Vegetable,31,37.0,44.0,3.01,8.5,3.02258064516129,-0.7188630584598509,31,3.02258064516129
De la Senne Taras Boulba,2.53,Belgium,3.35,Brasserie de la Senne,4.5,Belgian Blonde,330ml,330,7.67,Belgian Blonde,56185,5322,Brasserie de la Senne,Belgian Ale,1045,88.0,96.0,3.5,4.5,3.5138755980861243,0.2239401319784678,1045,3.5138755980861243
Zillertal Gauder Bock,3.85,Austria,3.4,Zillertal Bier,7.8,Bock - Hell / Maibock / Lentebock,500ml,500,7.7,Bock,77217,4012,Zillertal,Heller Bock,25,31.0,30.0,2.87,7.8,2.8999999999999995,,0,
Paljas Saison,2.55,Belgium,3.42,Brouwerij Henricus,6.0,Farmhouse Ale - Saison,330ml,330,7.73,Farmhouse Ale,328563,13490,Brouwerij Anders!,Saison,104,81.0,66.0,3.43,6.0,3.448076923076924,,0,
Witkap Pater Tripel,2.55,Belgium,3.48,Brouwerij Slaghmuylder,7.5,Belgian Tripel,330ml,330,7.73,Belgian Tripel,5397,797,Brouwerij Slaghmuylder,Abbey Tripel,429,79.0,80.0,3.41,7.5,3.4114219114219115,0.1067773129121793,429,3.4114219114219115
Vedett Extra Ordinary IPA,2.55,Belgium,3.49,Duvel Moortgat,5.5,IPA - Belgian,330ml,330,7.73,IPA,253212,247,Duvel Moortgat,India Pale Ale (IPA),420,59.0,39.0,3.27,5.5,3.2721428571428577,,0,
Ename Tripel,2.55,Belgium,3.55,Brouwerij Roman,8.5,Belgian Tripel,330ml,330,7.73,Belgian Tripel,6400,953,Brouwerij Roman,Abbey Tripel,421,50.0,44.0,3.21,8.5,3.211401425178148,,0,
Blanche,2.55,Belgium,3.43,Brouwerij Corsendonk,4.8,Wheat Beer - Witbier / Blanche,330ml,330,7.73,Wheat Beer,527915,1188,Brouwerij Strubbe,Witbier,1,,,3.09,5.5,3.7,,0,
De Eeuwige Jeugd Gladjanus,2.55,Netherlands,3.5,Brouwerij de Eeuwige Jeugd,5.2,IPA - White / Wheat,330ml,330,7.73,IPA,442224,28294,Brouwerij De Eeuwige Jeugd,Wheat Ale,16,50.0,79.0,3.2,4.6,3.2687500000000003,,0,
Abbaye des Rocs Triple Impériale,2.59,Belgium,3.66,Brasserie de l'Abbaye des Rocs,9.0,Belgian Strong Dark Ale,330ml,330,7.85,Belgian Strong Dark Ale,40722,131,Brasserie de lAbbaye des Rocs,Belgian Strong Ale,908,99.0,99.0,3.9,10.0,3.902312775330397,,0,
Westmalle Tripel,2.59,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,330ml,330,7.85,Belgian Tripel,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Wolf 8,2.6,Belgium,3.48,Brouwerij Wolf,8.5,Belgian Strong Dark Ale,330ml,330,7.88,Belgian Strong Dark Ale,100994,1718,Brouwerij Het Anker,Belgian Strong Ale,58,73.0,57.0,3.36,8.2,3.372413793103448,,0,
Val-Dieu Grand Cru,2.6,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,330ml,330,7.88,Belgian Quadrupel,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
De Eeuwige Jeugd Lellebel,2.6,Netherlands,3.57,Brouwerij de Eeuwige Jeugd,5.7,Blonde / Golden Ale - Other,330ml,330,7.88,Blonde / Golden Ale,507709,28294,Brouwerij De Eeuwige Jeugd,Belgian Ale,4,,,3.05,5.7,3.1750000000000003,,0,
Hapkin,2.6,Belgium,3.5,Brouwerij Alken-Maes,8.5,Belgian Strong Golden Ale,330ml,330,7.88,Belgian Strong Golden Ale,3966,6372,Brouwerijen Alken-Maes (Heineken),Belgian Strong Ale,373,68.0,50.0,3.32,8.5,3.3252010723860588,,0,
St. Austell Mena Dhu,3.95,England,3.69,St Austell Brewery,6.0,Stout - English,500ml,500,7.9,Stout,381114,1033,St. Austell,Stout,49,78.0,71.0,3.4,4.5,3.4469387755102043,,0,
Verzet Golden Tricky,2.61,Belgium,3.47,Brouwerij 't Verzet,7.5,IPA - Belgian,Bottle 330ml,330,7.91,IPA,248776,12773,Brouwerij t Verzet,India Pale Ale (IPA),148,86.0,74.0,3.48,7.5,3.5,,0,
Verzet Moose Blues,2.61,Belgium,3.37,Brouwerij 't Verzet,7.5,Belgian Strong Dark Ale,330ml,330,7.91,Belgian Strong Dark Ale,159593,12773,Brouwerij t Verzet,Belgian Strong Ale,118,48.0,36.0,3.18,7.5,3.1838983050847456,,0,
Vicaris Quinto,2.62,Belgium,3.29,Brouwerij Dilewyns,5.0,Belgian Blonde,330ml,330,7.94,Belgian Blonde,145365,12880,Dilewyns,Belgian Ale,147,56.0,75.0,3.25,5.0,3.266666666666667,-0.284674110094113,147,3.266666666666667
Verzet Rebel Local,2.63,Belgium,3.45,Brouwerij 't Verzet,8.0,Belgian Tripel,330ml,330,7.97,Belgian Tripel,142793,12773,Brouwerij t Verzet,India Pale Ale (IPA),180,67.0,45.0,3.32,8.5,3.3272222222222227,,0,
Beyerd Hefe Weisse,2.65,Netherlands,3.44,Brouwerij De Beyerd,5.5,Wheat Beer - Hefeweizen,330ml,330,8.03,Wheat Beer,48870,5766,Bierbrouwerij De Beyerd,German Hefeweizen,18,39.0,50.0,3.01,5.5,3.033333333333333,,0,
Petrus Tripel,2.65,Belgium,3.46,Brouwerij De Brabandere,7.5,Belgian Tripel,330ml,330,8.03,Belgian Tripel,6773,380,De Brabandere,Abbey Tripel,874,56.0,48.0,3.25,7.5,3.2480549199084665,,0,
Mc Chouffe,6.1,Belgium,3.64,Brasserie d'Achouffe,8.0,Belgian Strong Dark Ale,Bottle 750ml,750,8.13,Belgian Strong Dark Ale,1615,285,Brasserie dAchouffe  (Duvel-Moortgat),Belgian Strong Ale,1619,94.0,93.0,3.64,8.0,3.641568869672637,,0,
Moinette Brune,2.7,Belgium,3.54,Brasserie Dupont,8.5,Belgian Strong Dark Ale,330ml,330,8.18,Belgian Strong Dark Ale,6161,808,Brasserie Dupont,Abbey Dubbel,724,91.0,97.0,3.56,8.5,3.564502762430939,,0,
Arrogant Bastard Ale,3.9,United States,3.68,Arrogant Consortia,7.2,Strong Ale - American,Can 475ml,475,8.21,Strong Ale,1315,28443,Arrogant Brewing,American Strong Ale ,4269,99.0,98.0,3.88,7.2,3.8931365659405017,,0,
Old Man Ale,4.11,England,3.54,Coniston Brewing Company,4.8,Old / Stock Ale,500ml,500,8.22,Old / Stock Ale,217689,1889,Dark Horse Brewing Company,Old Ale,1,,,2.93,,4.0,,0,
Satan Black,2.75,Belgium,3.4,Brouwerij De Block,8.0,Belgian Strong Dark Ale,330ml,330,8.33,Belgian Strong Dark Ale,273961,74,De Block Brouwerij,Belgian Strong Ale,27,44.0,27.0,3.11,8.0,3.1259259259259267,,0,
Val-Dieu Triple,2.75,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,330ml,330,8.33,Belgian Tripel,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
De la Senne Zinnebir,2.77,Belgium,3.4,Brasserie de la Senne,5.8,Pale Ale - Belgian,Bottle 330ml,330,8.39,Pale Ale,40467,5322,Brasserie de la Senne,Belgian Ale,778,89.0,96.0,3.52,6.0,3.5264781491002566,,0,
Marble Mild,4.2,England,3.64,Marble Beers Ltd,4.1,Mild - Dark,500ml,500,8.4,Mild,72848,2785,Marble,Mild Ale,6,,,3.0,4.0,3.25,,0,
India Pale Ale,4.2,England,3.38,Fuller's Brewery,5.3,IPA - English,500ml,500,8.4,IPA,484561,30226,Wesley Brewery,India Pale Ale (IPA),0,,,,5.7,,,0,
Pale Ale,2.99,United States,3.62,Sierra Nevada Brewing Co.,5.6,Pale Ale - American,Can 355ml,355,8.42,Pale Ale,493741,30602,Robin Hood Brewing Co,American Pale Ale,2,,,2.93,4.5,2.95,,0,
Pater Lieven Blond,2.79,Belgium,3.37,Brouwerij Van Den Bossche,6.5,Belgian Blonde,330ml,330,8.45,Belgian Blonde,9414,1476,Van Den Bossche,Belgian Ale,206,45.0,50.0,3.13,6.5,3.127184466019417,-0.3979832133128169,206,3.127184466019417
Vicaris Tripel,2.8,Belgium,3.55,Brouwerij Dilewyns,8.5,Belgian Tripel,330ml,330,8.48,Belgian Tripel,52987,12880,Dilewyns,Abbey Tripel,259,81.0,83.0,3.42,8.5,3.4347490347490344,,0,
Troubadour Magma,2.8,Belgium,3.68,Brouwerij The Musketeers,8.5,IPA - Belgian,Bottle 330ml,330,8.48,IPA,119255,11515,Brouwerij The Musketeers,Imperial IPA,886,96.0,84.0,3.69,9.0,3.6992099322799104,,0,
Texels Goudkoppe,2.55,Netherlands,3.5,Texelse Bierbrouwerij,6.0,Belgian Blonde,300ml,300,8.5,Belgian Blonde,87265,1995,Texelse Bierbrouwerij,Belgian Ale,132,43.0,47.0,3.1,6.0,3.1060606060606064,-0.474052183457998,132,3.1060606060606064
Orval,2.85,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,330,8.64,Pale Ale,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Moeder Overste,2.85,Belgium,3.48,Brasserie Lefebvre,8.0,Belgian Tripel,330ml,330,8.64,Belgian Tripel,6957,104,Brasserie Lefebvre,Abbey Tripel,305,68.0,62.0,3.33,8.0,3.335409836065573,,0,
Satan Red,2.85,Belgium,3.37,Brouwerij De Block,8.0,Red Ale - Other,330ml,330,8.64,Red Ale,402,74,De Block Brouwerij,Belgian Strong Ale,503,45.0,29.0,3.13,8.0,3.128230616302187,,0,
Schönramer Bayrisch Pale Ale,2.89,Germany,3.49,Private Landbrauerei Schönram,5.5,Pale Ale - American,330ml,330,8.76,Pale Ale,170706,2818,Private Landbrauerei Schönram,American Pale Ale,134,53.0,47.0,3.23,5.5,3.232089552238806,-0.3502730665849538,134,3.232089552238806
Schneider Weisse Original,2.9,Germany,3.66,Schneider Weisse G. Schneider & Sohn,5.4,Wheat Beer - Hefeweizen,330ml,330,8.79,Wheat Beer,1762,313,Schneider Weisse G. Schneider & Sohn GmbH,German Hefeweizen,2172,92.0,100.0,3.58,5.4,3.58609576427256,,0,
Toetëlèr Blond,2.9,Belgium,3.36,Brouwerij Den Toetëlèr,7.3,Belgian Blonde,330ml,330,8.79,Belgian Blonde,507558,12610,Brouwerij Den Toetëlèr,Belgian Ale,7,,,3.01,7.3,3.0571428571428565,,0,
Windhoek Lager,2.9,Namibia,3.04,Namibia Breweries,4.0,Lager - Pale,330ml,330,8.79,Lager,4622,793,Namibia Breweries,Pale Lager,442,5.0,52.0,2.15,4.0,2.181900452488688,,0,
Flensburger Radler,2.9,Germany,3.05,Flensburger Brauerei Emil Petersen,3.0,Shandy / Radler,330ml,330,8.79,Shandy / Radler,48459,299,Flensburger Brauerei,Radler/Shandy,81,1.0,9.0,1.73,2.4,1.6864197530864191,,0,
Othmar Blond,2.95,Netherlands,3.47,Ootmarsummer Bierbrouwerij Heupink & Co,6.5,Blonde / Golden Ale - Other,330ml,330,8.94,Blonde / Golden Ale,338130,13698,Ootmarsummer Bierbrouwerij Heupink & Co,Heller Bock,10,39.0,48.0,3.04,6.5,3.08,,0,
Troubadour Magma,2.95,Belgium,3.68,Brouwerij The Musketeers,9.0,IPA - Belgian,330ml,330,8.94,IPA,119255,11515,Brouwerij The Musketeers,Imperial IPA,886,96.0,84.0,3.69,9.0,3.6992099322799104,,0,
Val-Dieu Bière de Noël,2.95,Belgium,3.55,Brasserie de l'Abbaye du Val-Dieu,7.0,Winter Warmer,330ml,330,8.94,Winter Warmer,12172,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,348,79.0,91.0,3.41,7.0,3.410344827586207,,0,
Texels Vuurbaak,2.7,Netherlands,3.46,Texelse Bierbrouwerij,5.5,Red Ale - Irish,300ml,300,9.0,Red Ale,265183,1995,Texelse Bierbrouwerij,Irish Ale,67,59.0,94.0,3.27,5.5,3.2955223880597013,-0.2989749218877041,67,3.2955223880597013
De la Senne Jambe-de-Bois,2.97,Belgium,3.56,Brasserie de la Senne,8.0,Belgian Tripel,330ml,330,9.0,Belgian Tripel,90886,5322,Brasserie de la Senne,Abbey Tripel,521,93.0,95.0,3.6,8.0,3.604606525911709,,0,
Petrus Dubbel,2.99,Belgium,3.32,Brouwerij De Brabandere,7.0,Belgian Dubbel,330ml,330,9.06,Belgian Dubbel,50688,380,De Brabandere,Abbey Dubbel,681,76.0,86.0,3.38,6.5,3.388546255506608,,0,
Duvel Tripel Hop Citra,3.0,Belgium,3.68,Duvel Moortgat,9.5,IPA - Belgian,330ml,330,9.09,IPA,496011,247,Duvel Moortgat,Belgian Strong Ale,473,98.0,98.0,3.76,9.5,3.7824524312896406,,0,
Budels Kolos,2.75,Netherlands,3.24,Budelse Brouwerij,7.5,Belgian Strong Golden Ale,300ml,300,9.17,Belgian Strong Golden Ale,115536,1684,Budelse Brouwerij,Belgian Strong Ale,108,39.0,16.0,3.03,7.5,3.028703703703704,-0.554164943375494,108,3.028703703703704
Tegernseer 1806 Max I. Joseph Jubiläums Export,4.6,Germany,3.61,Herzoglich Bayerisches Brauhaus Tegernsee,5.2,Lager - Dortmunder / Export,500ml,500,9.2,Lager,62978,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,83,38.0,85.0,3.03,5.2,3.0337349397590363,-0.5698289577995781,83,3.0337349397590363
Tegernseer Dunkel Export,4.6,Germany,3.54,Herzoglich Bayerisches Brauhaus Tegernsee,5.0,Lager - Munich Dunkel,500ml,500,9.2,Lager,16952,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dunkel/Tmavý,87,41.0,69.0,3.07,5.0,3.0758620689655176,,0,
Satan Gold,3.05,Belgium,3.42,Brouwerij De Block,8.0,Belgian Strong Golden Ale,330ml,330,9.24,Belgian Strong Golden Ale,5385,74,De Block Brouwerij,Belgian Strong Ale,457,41.0,21.0,3.07,8.0,3.076805251641137,,0,
Jessenhofke RSRV,3.05,Belgium,3.43,Biologische Brouwerij Jessenhofke,10.0,Belgian Quadrupel,330ml,330,9.24,Belgian Quadrupel,200192,14724,Jessenhofke,Abt/Quadrupel,79,77.0,35.0,3.39,10.0,3.4177215189873413,,0,
Moinette Biologique,6.95,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,Bottle 750ml,750,9.27,Farmhouse Ale,4680,808,Brasserie Dupont,Belgian Strong Ale,996,96.0,96.0,3.71,7.5,3.710140562248996,,0,
Vicaris Generaal,3.1,Belgium,3.48,Brouwerij Dilewyns,8.5,Belgian Strong Dark Ale,330ml,330,9.39,Belgian Strong Dark Ale,52986,12880,Dilewyns,Abbey Dubbel,336,94.0,98.0,3.63,8.5,3.6458333333333335,,0,
Troubadour Imperial Stout,3.1,Belgium,3.64,Brouwerij The Musketeers,9.0,Stout - Belgian,330ml,330,9.39,Stout,171235,11515,Brouwerij The Musketeers,Imperial Stout,382,94.0,46.0,3.62,9.0,3.635078534031413,,0,
Tegernseer Spezial,4.7,Germany,3.6,Herzoglich Bayerisches Brauhaus Tegernsee,5.6,Lager - Dortmunder / Export,500ml,500,9.4,Lager,20566,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,227,29.0,67.0,2.92,5.6,2.9237885462555067,-0.7437151221958773,227,2.9237885462555067
Augustiner Weissbier,4.7,Germany,3.67,Augustiner-Bräu München,5.4,Wheat Beer - Hefeweizen,500ml,500,9.4,Wheat Beer,10130,777,Augustiner-Bräu,German Hefeweizen,375,58.0,92.0,3.26,5.4,3.2728,,0,
Verzet Oud Bruin,3.12,Belgium,3.59,Brouwerij 't Verzet,6.0,Sour - Flanders Oud Bruin,330ml,330,9.45,Sour,182802,12773,Brouwerij t Verzet,Sour Red/Brown,315,94.0,69.0,3.62,6.0,3.6288888888888886,,0,
Blaugies / Hill Farmstead La Vermontoise,7.27,Belgium,3.8,Brasserie de Blaugies/ Hill Farmstead Brewery,6.0,Farmhouse Ale - Saison,Bottle 750ml,750,9.69,Farmhouse Ale,201329,1613,Brasserie de Blaugies,Saison,610,97.0,96.0,3.73,6.0,3.732622950819672,0.5498705938298921,610,3.732622950819672
Blaugies La Moneuse,7.27,Belgium,3.74,Brasserie de Blaugies,8.0,Farmhouse Ale - Saison,Bottle 750ml,750,9.69,Farmhouse Ale,9351,1613,Brasserie de Blaugies,Saison,602,97.0,96.0,3.71,8.0,3.7152823920265785,0.5876271904534486,602,3.7152823920265785
The Garden India Pale Ale,3.2,Croatia,3.77,The Garden Brewery,6.0,IPA - Milkshake,330ml,330,9.7,IPA,456060,27384,The Garden Brewery,India Pale Ale (IPA),37,80.0,62.0,3.42,6.5,3.472972972972973,,0,
The Garden Pale Ale,3.2,Croatia,3.57,The Garden Brewery,4.8,Pale Ale - American,330ml,330,9.7,Pale Ale,451239,27384,The Garden Brewery,American Pale Ale,35,61.0,55.0,3.28,5.1,3.3171428571428567,,0,
Gruut Amber Ale,3.2,Belgium,3.33,Gentse Gruut Stadsbrouwerij,6.6,Historical Beer - Gruit / Ancient Herbed Ale,330ml,330,9.7,Historical Beer,88501,9592,Gentse Stadsbrouwerij Gruut,Traditional Ale,208,42.0,45.0,3.08,6.6,3.0870192307692315,,0,
Eem Tierig,3.2,Netherlands,3.38,Brouwerij Eembier,6.7,IPA - Other,330ml,330,9.7,IPA,453765,10972,Bierbrouwerij de Eem,India Pale Ale (IPA),76,74.0,49.0,3.37,6.5,3.388157894736842,,0,
De la Senne Bruxellensis,3.23,Belgium,3.32,Brasserie de la Senne,6.5,Brett Beer,Bottle 330ml,330,9.79,Brett Beer,426608,5322,Brasserie de la Senne,Belgian Ale,141,98.0,100.0,3.79,6.5,3.82127659574468,,0,
Pater Lieven Tripel,3.25,Belgium,3.5,Brouwerij Van Den Bossche,8.0,Belgian Tripel,330ml,330,9.85,Belgian Tripel,8670,1476,Van Den Bossche,Abbey Tripel,368,72.0,71.0,3.36,8.0,3.362228260869565,0.0108654613121742,368,3.362228260869565
Bacchus Kriekenbier,3.25,Belgium,3.69,Kasteel Brouwerij Vanhonsebrouck,5.8,Sour - Flanders Oud Bruin,330ml,330,9.85,Sour,82497,956,Brouwerij Van Honsebrouck,Sour Red/Brown,313,49.0,17.0,3.2,5.8,3.197444089456869,,0,
Petrus Aged Pale,3.3,Belgium,3.58,Brouwerij De Brabandere,7.3,Sour - Other,330ml,330,10.0,Sour,10325,380,De Brabandere,Sour/Wild Ale,1582,93.0,65.0,3.61,7.3,3.606573957016436,,0,
The Garden Citrus IPA,3.39,Croatia,3.61,The Garden Brewery,7.2,IPA - Fruited,330ml,330,10.27,IPA,436592,27384,The Garden Brewery,India Pale Ale (IPA),42,78.0,56.0,3.4,7.2,3.4428571428571426,,0,
Gruut Inferno,3.4,Belgium,3.52,Gentse Gruut Stadsbrouwerij,9.0,Historical Beer - Gruit / Ancient Herbed Ale,330ml,330,10.3,Historical Beer,139910,9592,Gentse Stadsbrouwerij Gruut,Belgian Strong Ale,164,43.0,24.0,3.1,8.5,3.101829268292684,,0,
Rogue Dead Guy Ale,4.9,United States,3.71,Rogue Ales,6.8,Bock - Hell / Maibock / Lentebock,473ml,473,10.36,Bock,589,96,Rogue Ales,Heller Bock,3837,87.0,99.0,3.5,6.5,3.5126922074537403,,0,
Strieper The Incredible Double Zen Boosting Chill Machine,3.5,Netherlands,3.31,Strieper Craft Beer Company,6.8,Belgian Dubbel,330ml,330,10.61,Belgian Dubbel,472230,29623,Strieper Craft Beer Company,Abbey Dubbel,1,,,2.94,6.8,3.0,,0,
Bacchus Frambozenbier,3.55,Belgium,3.65,Kasteel Brouwerij Vanhonsebrouck,5.0,Sour - Flanders Oud Bruin,330ml,330,10.76,Sour,82483,956,Brouwerij Van Honsebrouck,Sour Red/Brown,342,50.0,19.0,3.21,5.0,3.2219298245614034,,0,
