Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
König Ludwig Dunkel,1.5,Germany,3.4,König Ludwig Schlossbrauerei Kaltenberg,5.1,Lager - Munich Dunkel,330ml,330,4.55,Lager,1155,1099,Schloßbrauerei Kaltenberg &#40;Warsteiner&#41;,Dunkel/Tmavý,530,45.0,82.0,3.13,5.1,3.1349056603773584,,0,
Gaffel Kölsch,2.29,Germany,3.35,Privatbrauerei Gaffel Becker,4.8,Kölsch,500ml,500,4.58,Kölsch,1692,301,Privatbrauerei Gaffel Becker & Co.,Kölsch,1019,30.0,44.0,2.93,4.8,2.9378802747791952,-0.7203363195521605,1019,2.9378802747791952
Andechser Spezial Hell,2.29,Germany,3.52,Klosterbrauerei Andechs,5.9,Festbier,500ml,500,4.58,Festbier,6280,190,Klosterbrauerei Andechs,Dortmunder/Helles,389,48.0,95.0,3.17,5.9,3.1804627249357327,,0,
Bayreuther Hefe-Weissbier,2.29,Germany,3.6,Bayreuther Bierbrauerei,5.3,Wheat Beer - Hefeweizen,500ml,500,4.58,Wheat Beer,213594,3742,Bayreuther Bierbrauerei,German Hefeweizen,58,50.0,88.0,3.21,5.2,3.2293103448275864,,0,
Schönramer Hell,2.29,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,500,4.58,Lager,17985,2818,Private Landbrauerei Schönram,Dortmunder/Helles,94,31.0,72.0,2.94,5.0,2.96063829787234,-0.7558537661732613,94,2.96063829787234
Nittenauer Pilsner,2.29,Germany,3.36,Brauhaus Nittenau,4.9,Pilsner - German,500ml,500,4.58,Pilsner,387698,8757,Brauhaus Nittenau,Pilsener,1,,,2.98,4.9,3.2,,0,
Nittenauer Export,2.29,Germany,3.47,Brauhaus Nittenau,5.5,Lager - Dortmunder / Export,500ml,500,4.58,Lager,110633,8757,Brauhaus Nittenau,Dortmunder/Helles,1,,,2.86,5.6,3.5,,0,
Zötler Gold,2.29,Germany,3.31,Privat-Brauerei Zötler,5.3,Lager - Dortmunder / Export,500ml,500,4.58,Lager,63380,2725,Privat-Brauerei Zötler,Dortmunder/Helles,75,20.0,39.0,2.76,5.1,2.748,,0,
Zötler Gold Alkoholfrei,2.29,Germany,2.93,Privat-Brauerei Zötler,0.2,Non-Alcoholic - Lager,500ml,500,4.58,Non-Alcoholic,343562,2725,Privat-Brauerei Zötler,Low Alcohol,9,,,2.09,0.2,1.7444444444444445,,0,
Störtebeker Baltik-Lager,2.29,Germany,3.33,Störtebeker Braumanufaktur,5.5,Märzen,500ml,500,4.58,Märzen,397923,951,Störtebeker Braumanufaktur,Zwickel/Keller/Landbier,36,36.0,48.0,3.0,5.5,3.016666666666666,-0.916072630162176,36,3.016666666666666
Zötler Pils,2.29,Germany,3.31,Privat-Brauerei Zötler,4.9,Pilsner - German,500ml,500,4.58,Pilsner,58476,2725,Privat-Brauerei Zötler,Pilsener,44,26.0,50.0,2.87,4.7,2.863636363636364,-0.8482281174610126,44,2.863636363636364
Długi Weekend,2.3,Poland,3.33,Browar Za Miastem,5.0,Pilsner - German,Bottle 500ml,500,4.6,Pilsner,533966,30982,Browar Za Miastem,Pilsener,1,,,,5.0,3.9,,0,
Fässla Bambergator,2.3,Germany,3.5,Privatbrauerei Fässla Bamberg,8.5,Bock - Doppelbock,500ml,500,4.6,Bock,10607,1949,Brauerei Fässla,Doppelbock,101,48.0,42.0,3.17,8.5,3.1841584158415843,-0.2920046889245306,101,3.1841584158415843
Weiherer Weizenbock,2.3,Germany,3.63,Brauerei Kundmüller,6.8,Bock - Weizenbock,500ml,500,4.6,Bock,262960,1822,Brauerei-Gasthof Kundmüller,Weizen Bock,63,59.0,47.0,3.27,6.8,3.2888888888888896,-0.2554842520188199,63,3.2888888888888896
Weihenstephaner Hefeweissbier,2.3,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,5.4,Wheat Beer - Hefeweizen,500ml,500,4.6,Wheat Beer,1156,282,Bayerische Staatsbrauerei Weihenstephan,German Hefeweizen,3250,98.0,100.0,3.82,5.4,3.848307692307692,,0,
Hopf Dunkle Weiße,2.33,Germany,3.53,Weißbierbrauerei Hopf,5.3,Wheat Beer - Dunkelweizen,500ml,500,4.66,Wheat Beer,12314,2285,Weißbierbrauerei Hopf &#40;Schörghuber&#41;,Dunkelweizen,197,46.0,70.0,3.14,5.0,3.141116751269036,,0,
Schimpf Weihnachtsbier,2.39,Germany,3.32,Kronenbrauerei Schimpf,5.2,Lager - Winter,500ml,500,4.78,Lager,114114,4991,Kronenbrauerei Schimpf,Oktoberfest/Märzen,8,,,3.05,5.2,3.1125,,0,
Giesinger Untergiesinger Erhellung,2.39,Germany,3.58,Giesinger Bräu,5.3,Kellerbier / Zwickelbier,500ml,500,4.78,Kellerbier / Zwickelbier,76315,8125,Giesinger Bräu,Zwickel/Keller/Landbier,75,23.0,27.0,2.84,5.3,2.8346666666666667,,0,
Hopf Die Alkoholfreie,2.39,Germany,3.15,Weißbierbrauerei Hopf,0.5,Non-Alcoholic - Wheat,500ml,500,4.78,Non-Alcoholic,78799,2285,Weißbierbrauerei Hopf &#40;Schörghuber&#41;,Low Alcohol,25,6.0,72.0,2.23,,2.132,,0,
Augustiner Dunkel,2.39,Germany,3.6,Augustiner-Bräu München,5.6,Lager - Munich Dunkel,500ml,500,4.78,Lager,9603,777,Augustiner-Bräu,Dunkel/Tmavý,362,64.0,95.0,3.3,5.6,3.319337016574585,,0,
Schönramer Pils,2.39,Germany,3.48,Private Landbrauerei Schönram,5.0,Pilsner - German,500ml,500,4.78,Pilsner,16333,2818,Private Landbrauerei Schönram,Pilsener,205,48.0,90.0,3.18,5.0,3.1951219512195124,,0,
Weihenstephaner Pils,2.45,Germany,3.57,Bayerische Staatsbrauerei Weihenstephan,5.1,Pilsner - German,500ml,500,4.9,Pilsner,30527,282,Bayerische Staatsbrauerei Weihenstephan,Pilsener,454,45.0,86.0,3.13,5.1,3.1306167400881058,,0,
Weihenstephaner Hefeweissbier Dunkel,2.45,Germany,3.76,Bayerische Staatsbrauerei Weihenstephan,5.3,Wheat Beer - Dunkelweizen,500ml,500,4.9,Wheat Beer,4583,282,Bayerische Staatsbrauerei Weihenstephan,Dunkelweizen,1733,93.0,99.0,3.59,5.3,3.59728793998846,,0,
Weltenburger Kloster Barock Dunkel,2.49,Germany,3.52,Klosterbrauerei Weltenburg,4.7,Lager - Munich Dunkel,500ml,500,4.98,Lager,4024,689,Klosterbrauerei Weltenburg,Dunkel/Tmavý,747,84.0,99.0,3.46,4.7,3.470548862115128,0.1882166918383038,747,3.470548862115128
Augustiner Lagerbier Hell,2.5,Germany,3.64,Augustiner-Bräu München,5.2,Lager - Helles,500ml,500,5.0,Lager,9604,777,Augustiner-Bräu,Dortmunder/Helles,660,42.0,89.0,3.08,5.2,3.147424242424243,,0,
Weiherer Summer Ale,2.6,Germany,3.51,Brauerei Kundmüller,5.2,Pale Ale - Other,500ml,500,5.2,Pale Ale,526005,1822,Brauerei-Gasthof Kundmüller,American Pale Ale,2,,,2.79,5.2,2.55,,0,
Weiherer Grünhopfen-Pils,2.6,Germany,3.61,Brauerei Kundmüller,4.9,Pilsner - German,500ml,500,5.2,Pilsner,472361,1822,Brauerei-Gasthof Kundmüller,Pilsener,1,,,3.02,,3.4,,0,
Troubadour Westkust,2.7,Belgium,3.56,Brouwerij The Musketeers,8.6,IPA - Imperial / Double Black,Bottle 500ml,500,5.4,IPA,172328,11515,Brouwerij The Musketeers,Black IPA,538,97.0,95.0,3.71,9.2,3.718401486988848,,0,
Pauwel Kwak,1.79,Belgium,3.76,Brouwerij Bosteels,8.4,Pale Ale - Belgian,330ml,330,5.42,Pale Ale,3658,632,Brouwerij Bosteels (AB-InBev),Belgian Strong Ale,2420,92.0,90.0,3.58,8.4,3.5951239669421486,,0,
Pinkus Hefe Weizen,2.75,Germany,3.42,Brauerei Pinkus Müller,5.0,Wheat Beer - Hefeweizen,500ml,500,5.5,Wheat Beer,4552,742,Brauerei Pinkus Müller,German Hefeweizen,600,28.0,36.0,2.9,5.0,2.9008333333333334,,0,
Rothaus Hefeweizen,2.8,Germany,3.59,Badische Staatsbrauerei Rothaus,5.4,Wheat Beer - Hefeweizen,500ml,500,5.6,Wheat Beer,9284,1602,Badische Staatsbrauerei Rothaus,German Hefeweizen,272,63.0,94.0,3.29,5.4,3.2875,-0.1416483837694606,271,3.2863468634686352
Störtebeker Bernstein-Weizen,2.85,Germany,3.43,Störtebeker Braumanufaktur,5.3,Wheat Beer - Hefeweizen,500ml,500,5.7,Wheat Beer,39881,951,Störtebeker Braumanufaktur,German Hefeweizen,359,45.0,75.0,3.13,5.3,3.136768802228412,,0,
Andechser Weissbier Hell,2.85,Germany,3.71,Klosterbrauerei Andechs,5.5,Wheat Beer - Hefeweizen,500ml,500,5.7,Wheat Beer,6002,190,Klosterbrauerei Andechs,German Hefeweizen,679,95.0,100.0,3.65,5.5,3.6589101620029454,,0,
Becher Jean Paul Bier,1.9,Germany,3.19,Becher Bräu,5.5,Lager - Munich Dunkel,330ml,330,5.76,Lager,298696,5494,Becher-Bräu,Dunkel/Tmavý,3,,,2.76,5.5,2.566666666666667,,0,
Vedett Extra White,1.9,Belgium,3.51,Duvel Moortgat,4.7,Wheat Beer - Witbier / Blanche,330ml,330,5.76,Wheat Beer,91232,247,Duvel Moortgat,Witbier,551,40.0,50.0,3.07,4.7,3.077313974591652,,0,
Pinta Pierwsza Pomoc,2.89,Poland,3.24,Browar PINTA,4.3,Pilsner - Other,500ml,500,5.78,Pilsner,147325,12742,Browar PINTA,Czech Pilsner (Světlý),244,45.0,82.0,3.14,4.1,3.1274590163934426,,0,
Störtebeker Nordik Porter,2.89,Germany,3.56,Störtebeker Braumanufaktur,9.1,Bock - Eisbock,500ml,500,5.78,Bock,462577,951,Störtebeker Braumanufaktur,Eisbock,24,94.0,88.0,3.64,9.1,3.75,0.4643586001615565,24,3.75
Pinta A Ja Pale Ale,2.92,Poland,3.5,Browar PINTA,5.0,Pale Ale - American,500ml,500,5.84,Pale Ale,299538,12742,Browar PINTA,American Pale Ale,297,80.0,82.0,3.42,4.5,3.43030303030303,-0.0501166259639992,297,3.43030303030303
Weihenstephaner Vitus,2.95,Germany,3.84,Bayerische Staatsbrauerei Weihenstephan,7.7,Bock - Weizenbock,500ml,500,5.9,Bock,70791,282,Bayerische Staatsbrauerei Weihenstephan,Weizen Bock,1872,98.0,99.0,3.76,7.7,3.7773504273504273,0.6962262600276231,1872,3.7773504273504273
Weihenstephaner Korbinian,2.95,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,7.4,Bock - Doppelbock,500ml,500,5.9,Bock,7823,282,Bayerische Staatsbrauerei Weihenstephan,Doppelbock,1709,98.0,99.0,3.77,7.4,3.777296664716208,0.7044396684252344,1709,3.777296664716208
