,Origin,Mean_grade,std_grade,Number_beers,Mean_price_euro_per_litter,std_price,Country_x,Year_x,Income_x,Price_norm_income_score,Country_y,Year_y,Income_y,Country,Year,Income,income_average_rating
0,Netherlands,3.615395793499044,0.276257759001381,2649,12.774337485843715,4.1866158967628095,Netherlands,2021.0,21595.31,3.794536772788599,Netherlands,2021.0,21595.31,Netherlands,2021.0,21595.31,0.3352793656149654
1,United States,3.956711517761033,0.23748163477843562,1866,17.370932475884246,5.118111329428518,United States,2022.0,22701.55,7.7634245520606004,United States,2022.0,22701.55,United States,2022.0,22701.55,0.903734507617347
2,Spain,3.8710447761194033,0.21436284605092518,539,15.75194805194805,3.9761006412770854,Spain,2019.0,14723.41,14.726703621355716,Spain,2019.0,14723.41,Spain,2019.0,14723.41,1.325330964350974
3,Poland,3.721273364485981,0.2525461269492926,858,10.244545454545454,4.768300749063624,Poland,2020.0,10281.97,13.046916567957206,Poland,2020.0,10281.97,Poland,2020.0,10281.97,1.502547300449326
4,England,3.792503863987635,0.2549829581686644,1302,14.386966205837174,3.9642341547778224,,,,,,,,,,,
5,Canada,4.070342679127726,0.267313382949768,327,19.960917431192662,4.43650214729774,Canada,2019.0,20327.16,12.718315135276118,Canada,2019.0,20327.16,Canada,2019.0,20327.16,1.2608113230143179
6,Sweden,3.7856521739130433,0.2583081369089839,323,15.641609907120742,4.484039730754205,Sweden,2021.0,19462.51,8.643161975606501,Sweden,2021.0,19462.51,Sweden,2021.0,19462.51,0.7374301848953931
7,Germany,3.531215834118756,0.29172741724535034,2141,9.052022419430173,5.018437172623754,Germany,2020.0,21273.48,0.0,Germany,2020.0,21273.48,Germany,2020.0,21273.48,0.18435982214547422
8,Belgium,3.6804152249134945,0.28869330091005646,2900,12.79531724137931,5.434661470072159,Belgium,2021.0,20311.07,4.672967098643386,Belgium,2021.0,20311.07,Belgium,2021.0,20311.07,0.4905364731622081
9,Denmark,3.6024925816023736,0.2813853178782125,337,14.632284866468842,4.0644819490124044,Denmark,2022.0,20055.3,6.950006740630643,Denmark,2022.0,20055.3,Denmark,2022.0,20055.3,0.34175651451185407
10,France,3.856114206128134,0.23576830290995365,736,15.00766304347826,4.866050093329867,France,2020.0,17583.19,9.782361728280188,France,2020.0,17583.19,France,2020.0,17583.19,1.0081133671074123
11,Austria,3.582307692307692,0.22940344959212414,52,11.685384615384615,5.008361816449024,Austria,2021.0,21226.28,2.8570650499210806,Austria,2021.0,21226.28,Austria,2021.0,21226.28,0.28055033655536354
12,Hungary,3.661287878787879,0.24488192329042707,271,13.527195571955719,4.277667358734234,,,,,,,,,,,
13,Czech Republic,3.7301081081081082,0.24888444409000032,186,10.730913978494623,3.922952655654441,,,,,,,,,,,
15,Ireland,3.736962962962963,0.30123941505916046,136,12.670808823529413,5.303082409755891,Ireland,2021.0,18349.55,6.056995441500463,Ireland,2021.0,18349.55,Ireland,2021.0,18349.55,0.6855140076332138
