,Origin,Mean_grade,std_grade,Number_beers,Mean_price_euro_per_litter,std_price,Country_x,Year_x,Income_x,Price_norm_income_score,Country_y,Year_y,Income_y,Country,Year,Income,income_average_rating
16,Slovakia,3.4324999999999997,0.2133056157589051,36,7.983888888888889,2.14004976948505,Slovakia,2018.0,8265.01,12.35272437912271,Slovakia,2018.0,8265.01,Slovakia,2018.0,8265.01,0.0
17,Brazil,3.9039130434782607,0.4825381674064266,23,13.691739130434783,4.034283367896968,Brazil,2022.0,4127.94,66.08191521173987,Brazil,2022.0,4127.94,Brazil,2022.0,4127.94,inf
18,Norway,3.674917355371901,0.33320304170347154,242,14.667809917355372,4.411816526007663,Norway,2021.0,24552.1,3.928987659509722,Norway,2021.0,24552.1,Norway,2021.0,24552.1,0.38005822329640315
20,Scotland,3.7816528925619837,0.2693229092740572,366,15.33,5.324187815095462,,,,,,,,,,,
22,Italy,3.7593650793650792,0.21159866174150002,128,15.6384375,4.42089641344662,Italy,2020.0,12129.86,19.74098141281436,Italy,2020.0,12129.86,Italy,2020.0,12129.86,1.3079915815235974
23,Estonia,3.717704918032787,0.2875074860653448,244,14.093688524590165,4.375323564908718,Estonia,2016.0,10709.81,20.351427647937324,Estonia,2016.0,10709.81,Estonia,2016.0,10709.81,1.3875170826549326
24,Romania,3.887234042553191,0.20499591364295147,194,14.022113402061855,4.010625287845848,Romania,2021.0,8972.35,25.993291621833237,Romania,2021.0,8972.35,Romania,2021.0,8972.35,3.005710888673586
26,Croatia,3.7708988764044946,0.24314062732874142,89,12.521011235955054,3.0449865819020023,,,,,,,,,,,
27,Finland,3.8495833333333334,0.31339772462929094,72,16.94152777777778,3.6518949970720778,Finland,2016.0,17896.48,11.910560376514542,Finland,2016.0,17896.48,Finland,2016.0,17896.48,0.9699862408938105
28,Wales,3.7917,0.24622013227060366,101,14.392871287128713,2.857630954701347,,,,,,,,,,,
29,Latvia,3.9812608695652174,0.15576174768828388,230,13.982304347826087,2.8039085934490973,,,,,,,,,,,
30,Greece,3.9564705882352946,0.2395814829813071,34,16.583823529411767,4.344440553798637,Greece,2016.0,8376.19,35.52531714255899,Greece,2016.0,8376.19,Greece,2016.0,8376.19,3.9493668120731793
34,Slovenia,3.5978947368421053,0.07598091480894843,19,13.947368421052632,2.6804308155080485,,,,,,,,,,,
35,Serbia,3.7409090909090907,0.1254953820229688,11,14.087272727272728,2.923973635001147,Serbia,2022.0,5135.68,52.967056929416266,Serbia,2022.0,5135.68,Serbia,2022.0,5135.68,9.79962151852033
38,Northern Ireland,3.745,0.21209481494443924,20,13.1465,4.2446961021962455,,,,,,,,,,,
39,Switzerland,3.961052631578948,0.25387578867227306,38,20.27868421052632,4.171767511241737,Switzerland,2019.0,23733.97,9.802764088356833,Switzerland,2019.0,23733.97,Switzerland,2019.0,23733.97,0.8632353275746488
40,Ukraine,3.9207407407407406,0.2272904939960508,27,15.270000000000001,3.375175209127326,,,,,,,,,,,
41,Portugal,3.846341463414634,0.21570530936396765,42,17.340714285714284,3.873550959820656,,,,,,,,,,,
43,Bulgaria,3.9031428571428575,0.16204159648558328,35,15.673714285714286,3.9854338354993253,,,,,,,,,,,
